Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
19-OCT-2021,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,22832000,No Fresh Positions
19-OCT-2021,INE257A01026,BHEL,BHEL,256482590,210777000,No Fresh Positions
19-OCT-2021,INE042A01014,ESCORTS INDIA LTD,ESCORTS,14081594,12968450,No Fresh Positions
19-OCT-2021,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1606294231,1396920000,No Fresh Positions
19-OCT-2021,INE335Y01012,INDIAN RAIL TOUR CORP LTD,IRCTC,10433113,11089325,No Fresh Positions
19-OCT-2021,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,166923000,No Fresh Positions
19-OCT-2021,INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,570016000,No Fresh Positions
19-OCT-2021,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,289139949,282492000,No Fresh Positions
19-OCT-2021,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,16512000,No Fresh Positions
19-OCT-2021,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,39945878,7206300,30742284
19-OCT-2021,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,86300,923597
19-OCT-2021,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,66637623,21556600,41749141
19-OCT-2021,INE012A01025,ACC LIMITED,ACC,17078428,7086000,9138506
19-OCT-2021,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,39641000,12769854
19-OCT-2021,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147858225,114250000,26215313
19-OCT-2021,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,9841875,599000,8750781
19-OCT-2021,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145409793,44535000,93604303
19-OCT-2021,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11999222,4179450,7219810
19-OCT-2021,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20181931,5046750,14126084
19-OCT-2021,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,72957920,39820000,29490024
19-OCT-2021,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,128020500,140052212
19-OCT-2021,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562627,10003200,76031295
19-OCT-2021,INE006I01046,ASTRAL LIMITED,ASTRAL,17786268,1138500,15758454
19-OCT-2021,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,44807534,7441000,35126157
19-OCT-2021,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,26859950,26762445
19-OCT-2021,INE238A01034,AXIS BANK LIMITED,AXISBANK,527568322,62608800,438581105
19-OCT-2021,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26795423,6110250,19345401
19-OCT-2021,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12426382,1598550,10206512
19-OCT-2021,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,52829771,8939375,41248907
19-OCT-2021,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,3184800,12133222
19-OCT-2021,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193310657,37927800,145717324
19-OCT-2021,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,291283200,62720523
19-OCT-2021,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,3768600,7719184
19-OCT-2021,INE263A01024,BHARAT ELECTRONICS LTD,BEL,238123793,45216200,181001403
19-OCT-2021,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595067,9009000,37156313
19-OCT-2021,INE465A01025,BHARAT FORGE LTD,BHARATFORG,51436398,17727000,31137578
19-OCT-2021,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,485965844,137811906,323855645
19-OCT-2021,INE376G01013,BIOCON LIMITED.,BIOCON,92336958,38104100,49616010
19-OCT-2021,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,283750,1367048
19-OCT-2021,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202636795,60442200,132062755
19-OCT-2021,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2757400,19874526
19-OCT-2021,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51441633,36847800,12021751
19-OCT-2021,INE476A01014,CANARA BANK,CANBK,134484114,107335800,20424108
19-OCT-2021,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644652,9810450,7901969
19-OCT-2021,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79393472,15058750,60365048
19-OCT-2021,INE059A01026,CIPLA LTD,CIPLA,101908925,26226200,70587278
19-OCT-2021,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,181906200,214641616
19-OCT-2021,INE591G01017,COFORGE LIMITED,COFORGE,5365617,1194600,3902736
19-OCT-2021,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,5928650,19393212
19-OCT-2021,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,14737527,37590253
19-OCT-2021,INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,24904335,3696875,19962243
19-OCT-2021,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,118035970,3127300,109006871
19-OCT-2021,INE491A01021,CITY UNION BANK LTD,CUB,147764422,16634600,123741600
19-OCT-2021,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,6012000,19795189
19-OCT-2021,INE016A01026,DABUR INDIA LTD,DABUR,115396089,22507500,87118784
19-OCT-2021,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,16477193,1376000,14277333
19-OCT-2021,INE288B01029,DEEPAK NITRITE LTD,DEEPAKNTR,14814614,7655000,6418883
19-OCT-2021,INE124G01033,DELTA CORP LIMITED,DELTACORP,35604699,31947000,1877464
19-OCT-2021,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25513876,3567600,20670582
19-OCT-2021,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,7610955,1123500,6106907
19-OCT-2021,INE271C01023,DLF LIMITED,DLF,124016568,78774300,39041439
19-OCT-2021,INE089A01023,DR. REDDY'S LABORATORIES,DRREDDY,24273517,6320750,16739091
19-OCT-2021,INE066A01021,EICHER MOTORS LTD,EICHERMOT,27764830,7544950,18831638
19-OCT-2021,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,91809066,65552400,21666212
19-OCT-2021,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,393537989,173600000,200261089
19-OCT-2021,INE129A01019,GAIL (INDIA) LTD,GAIL,424621761,96776500,306614172
19-OCT-2021,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30116493,12904150,15706518
19-OCT-2021,INE776C01039,GMR INFRASTRUCTURE LTD.,GMRINFRA,464875219,254160000,187471458
19-OCT-2021,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,75199601,10394000,61045620
19-OCT-2021,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,23107992,4827550,17125042
19-OCT-2021,INE101D01020,GRANULES INDIA LIMITED,GRANULES,28712882,21349700,5927537
19-OCT-2021,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,75958041,13500925,58659213
19-OCT-2021,INE844O01030,GUJARAT GAS LIMITED,GUJGASLTD,53841317,12928750,38220501
19-OCT-2021,INE066F01012,HINDUSTAN AERONAUTICS LTD,HAL,16619018,4341500,11446567
19-OCT-2021,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,50687734,8571500,39581847
19-OCT-2021,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,215294964,56863100,147667115
19-OCT-2021,INE001A01036,HDFC LTD,HDFC,361150649,18758400,324334716
19-OCT-2021,INE127D01025,HDFC AMC LIMITED,HDFCAMC,11132055,6863000,3712452
19-OCT-2021,INE040A01034,HDFC BANK LTD,HDFCBANK,666795547,70838350,562617419
19-OCT-2021,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,186588206,41591000,135667795
19-OCT-2021,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,26069561,9172500,15593582
19-OCT-2021,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,292555916,67901300,210026820
19-OCT-2021,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,127940594,29176200,92367364
19-OCT-2021,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,179035196,20641800,149441636
19-OCT-2021,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,68933088,52892200,12594233
19-OCT-2021,INE090A01021,ICICI BANK LTD.,ICICIBANK,1086781402,123079000,909363331
19-OCT-2021,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,50931734,4840750,43544397
19-OCT-2021,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,76293170,8616000,63862511
19-OCT-2021,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,787579604,370718500,377482123
19-OCT-2021,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,59710948,47050000,9675400
19-OCT-2021,INE203G01027,INDRAPRASTHA GAS LTD,IGL,77000080,34449250,38700826
19-OCT-2021,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,140923239,34905000,98972077
19-OCT-2021,INE383A01012,THE INDIA CEMENTS LIMITED,INDIACEM,44365911,23002800,19144815
19-OCT-2021,INE933S01016,INDIAMART INTERMESH LTD,INDIAMART,3040029,558375,2329652
19-OCT-2021,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,19372475,6969000,11434851
19-OCT-2021,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,107909145,31784400,70729287
19-OCT-2021,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,162420466,27288800,127010642
19-OCT-2021,INE009A01021,INFOSYS LIMITED,INFY,738451703,69731400,631797717
19-OCT-2021,INE242A01010,INDIAN OIL CORP LTD,IOC,913205148,82550000,784994890
19-OCT-2021,INE571A01020,IPCA LABORATORIES LTD,IPCALAB,13627174,1066725,11879090
19-OCT-2021,INE154A01025,ITC LTD,ITC,2458868441,456012800,1879912218
19-OCT-2021,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,80645614,60760000,15853333
19-OCT-2021,INE823G01014,JK CEMENT LIMITED,JKCEMENT,6548260,168000,6052847
19-OCT-2021,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,268411812,64516500,190474721
19-OCT-2021,INE797F01012,JUBILANT FOODWORKS LTD,JUBLFOOD,15268602,3920250,10584921
19-OCT-2021,INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,293418503,19538000,259209577
19-OCT-2021,INE498L01015,L&T FINANCE HOLDINGS LTD,L&TFH,179915331,163264580,7654984
19-OCT-2021,INE600L01024,DR. LAL PATH LABS LTD.,LALPATHLAB,7321123,1352750,5602316
19-OCT-2021,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,43632000,13599895
19-OCT-2021,INE018A01030,LARSEN & TOUBRO LTD.,LT,277029606,22370375,240807750
19-OCT-2021,INE214T01019,L&T INFOTECH LIMITED,LTI,9001754,1692000,6859666
19-OCT-2021,INE010V01017,L&T TECHNOLOGY SER. LTD.,LTTS,5413980,1776000,3367281
19-OCT-2021,INE326A01037,LUPIN LIMITED,LUPIN,48261028,24552250,21295726
19-OCT-2021,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,184476019,31643500,143608718
19-OCT-2021,INE774D01024,M&M FIN. SERVICES LTD,M&MFIN,117530313,42836000,68817797
19-OCT-2021,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,110041718,42432000,62107632
19-OCT-2021,INE196A01026,MARICO LIMITED,MARICO,104071883,16170000,82698288
19-OCT-2021,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,26359259,5878100,19163196
19-OCT-2021,INE854D01024,UNITED SPIRITS LIMITED,MCDOWELL-N,62845623,24163750,35539591
19-OCT-2021,INE745G01035,MULTI COMMODITY EXCHANGE,MCX,10180563,3648750,6022784
19-OCT-2021,INE112L01020,METROPOLIS HEALTHCARE LTD,METROPOLIS,5075184,1088600,3732824
19-OCT-2021,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,43769485,3088150,38492860
19-OCT-2021,INE002S01010,MAHANAGAR GAS LTD.,MGL,13335005,8248200,4420054
19-OCT-2021,INE018I01017,MINDTREE LIMITED,MINDTREE,12809266,6646400,5522402
19-OCT-2021,INE775A01035,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,241729538,64722000,164921061
19-OCT-2021,INE356A01018,MPHASIS LIMITED,MPHASIS,16474301,2760550,12890035
19-OCT-2021,INE883A01011,MRF LTD,MRF,612280,93060,488606
19-OCT-2021,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,21347107,6955500,13324251
19-OCT-2021,INE298J01013,NIPPON L I A M LTD,NAM-INDIA,31873142,7174400,23105084
19-OCT-2021,INE663F01024,INFO EDGE (I) LTD,NAUKRI,15819252,1768875,13259414
19-OCT-2021,INE048G01026,NAVIN FLUORINE INT. LTD,NAVINFLUOR,6909637,1579275,4984880
19-OCT-2021,INE239A01016,NESTLE INDIA LIMITED,NESTLEIND,7180127,444150,6376970
19-OCT-2021,INE584A01023,NMDC LTD.,NMDC,229794455,199693500,18611232
19-OCT-2021,INE733E01010,NTPC LTD,NTPC,948263976,261937800,638912977
19-OCT-2021,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,23485458,3089800,19221385
19-OCT-2021,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,4614633,1225500,3158401
19-OCT-2021,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,996134149,198636900,747690541
19-OCT-2021,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,1161956,125130,978728
19-OCT-2021,INE140A01024,PIRAMAL ENTERPRISES LTD,PEL,24341349,6714400,16409881
19-OCT-2021,INE262H01013,PERSISTENT SYSTEMS LTD,PERSISTENT,10140694,498000,9135659
19-OCT-2021,INE347G01014,PETRONET LNG LIMITED,PETRONET,150000017,49302000,93198016
19-OCT-2021,INE134E01011,POWER FIN CORP LTD.,PFC,232357926,88089600,132650429
19-OCT-2021,INE182A01018,PFIZER LTD,PFIZER,3300938,296875,2839016
19-OCT-2021,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,30357639,3381000,25458757
19-OCT-2021,INE603J01030,PI INDUSTRIES LTD,PIIND,16142192,1568500,13766582
19-OCT-2021,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,9425543,2210400,6743865
19-OCT-2021,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,678857930,77344499,567570534
19-OCT-2021,INE191H01014,PVR LIMITED,PVR,10078782,5589331,3985511
