Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
27-AUG-2026,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,45183075,61022000,44099745.28682111,No Fresh Positions
27-AUG-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,251074000,213783984.4306844,No Fresh Positions
27-AUG-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,5767500,3800133.70101581,44729565
27-AUG-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,2761250,1775395.58007722,5773840
27-AUG-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,59430100,40474191.41531422,77060683
27-AUG-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,22711050,17808218.69942245,28874674
27-AUG-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,22188981,16146498.95887663,30516400
27-AUG-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,34742400,27123783.41960828,61052297
27-AUG-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,30475050,21131084.71780574,83857622
27-AUG-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,251173150,185663426.0938691,502478744
27-AUG-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,1739000,1399872.85457274,5481042
27-AUG-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,2544000,1505270.60693652,1595305
27-AUG-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,111813600,94468036.16864582,21155967
27-AUG-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,58197500,32520570.58350745,59901677
27-AUG-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,11468450,9432343.97704388,18957055
27-AUG-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4126750,2755541.05059545,11992856
27-AUG-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,226800000,144031075.58296917,258559073
27-AUG-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,14309250,9510659.9382293,33605953
27-AUG-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,10021500,7205641.80378893,10319434
27-AUG-2026,INE0LEZ01016,ATHER ENERGY LIMITED,ATHERENERG,32347671,2096250,1379924.03373193,29350363
27-AUG-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,31690000,23320393.80743237,50897964
27-AUG-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,13768150,10693868.54156725,29185169
27-AUG-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,122508750,99643816.59941256,191827766
27-AUG-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,2974425,1874372.85786762,10392860
27-AUG-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,14942400,9717145.57600565,52874422
27-AUG-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,303375,254745.13024063,4877148
27-AUG-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,88864500,69952128.27306325,279810696
27-AUG-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,157730400,124738526.12674688,15331630
27-AUG-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,219024000,153921334.44450912,111581457
27-AUG-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,123853600,86978993.91083386,85703381
27-AUG-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,13791675,6419738.42380107,6677641
27-AUG-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,165689025,115431633.38407784,327168054
27-AUG-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,12780000,8430958.10286113,29671405
27-AUG-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,84075950,63756419.87213169,337007202
27-AUG-2026,INE257A01026,BHEL,BHEL,218493415,116447625,81487818.64234251,126080925
27-AUG-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,75350000,53022290.41388263,49606728
27-AUG-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,7432100,5669768.45650679,12936141
27-AUG-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,368925,211219.1681176,744338
27-AUG-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,50548150,38925667.22127178,251794040
27-AUG-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,3522750,2282288.76523711,14691655
27-AUG-2026,INE118H01025,BSE LIMITED,BSE,61182611,25584000,12775897.28923785,45347583
27-AUG-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37197674,16779675,11082018.38680038,24255771
27-AUG-2026,INE476A01022,CANARA BANK,CANBK,504315430,479121750,389421185.7828734,89678472
27-AUG-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,21978725,12328267.87128222,12986857
27-AUG-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,101855520,27563800,19525764.80343557,77236979
27-AUG-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,64859568,18697500,15584315.77481852,46032273
27-AUG-2026,INE059A01026,CIPLA LTD,CIPLA,70510364,17884425,11585648.69805722,55399197
27-AUG-2026,INE522F01014,COAL INDIA LTD,COALINDIA,340798858,136378350,94828233.36410372,228930681
27-AUG-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,12661431,9736000,6008612.5701013,6019746
27-AUG-2026,INE591G01025,COFORGE LIMITED,COFORGE,52331255,20456825,13924495.6369181,35790196
27-AUG-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,14245222,10465950,6406991.81640267,7125969
27-AUG-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,51639257,29515000,22895894.23375216,26161399
27-AUG-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,96587231,97760500,70975129.52288658,20782739
27-AUG-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,6919600,5456137.40014758,13899352
27-AUG-2026,INE016A01026,DABUR INDIA LTD,DABUR,82677434,51887500,33199903.75819345,45343658
27-AUG-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,112291216,43274125,27224928.73561469,79451726
27-AUG-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,13600537,5594600,3481647.82817343,9438862
27-AUG-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6504348,5760600,3311637.64669349,2867492
27-AUG-2026,INE271C01023,DLF LIMITED,DLF,96251298,57920550,46922881.82748319,44515851
27-AUG-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,22726551,7512150,5057045.20418861,16533178
27-AUG-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,87080351,29020625,18798374.22035982,63927959
27-AUG-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,19219348,5061600,3676785.32198842,14581595
27-AUG-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,1379083826,213513975,157162106.08999025,1152967528
27-AUG-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,365889239,115122500,89800712.89474897,257794064
27-AUG-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,736885,404425,269154.32828575,430886
27-AUG-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,51966225,15430250,13162608.5784212,36205305
27-AUG-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,448489660,116251850,81512593.79006985,344552583
27-AUG-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22582219,13801875,11433146.01550747,10019962
27-AUG-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,533339406,221958450,148011047.59246267,358661388
27-AUG-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,6348046,2027575,1486125.51923106,4544518
27-AUG-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,72056552,22135500,14285566.68682694,54168157
27-AUG-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,21839065,11574225,8721765.24509586,12025346
27-AUG-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38058064,12017500,9658626.5536628,26496534
27-AUG-2026,INE200A01026,GE VERNOVA T&D INDIA LTD,GVT&D,18819420,4764875,3486390.52442537,14392058
27-AUG-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,28450886,10347750,6542244.92942003,20486096
27-AUG-2026,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,38163575,9602000,7068534.713601,29186861
27-AUG-2026,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,158152529,32806000,26041901.37275692,124203001
27-AUG-2026,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30606078,9256200,7248863.99191359,21826910
27-AUG-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,1783013543,578585150,415235097.5361198,1278627768
27-AUG-2026,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,161090614,81704700,55963728.83600981,97072354
27-AUG-2026,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,19590239,6277050,4255820.89610649,14354906
27-AUG-2026,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,218653306,65369500,50297380.13617082,157423260
27-AUG-2026,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,143933168,57441150,42823875.63605676,93912633
27-AUG-2026,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,97201599,29902500,18235206.46391764,74106312
27-AUG-2026,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,178972892,67014850,32608172.84094461,137416074
27-AUG-2026,INE0V6F01027,HYUNDAI MOTOR INDIA LTD,HYUNDAI,21329205,5016825,3587291.52202923,16675453
27-AUG-2026,INE090A01021,ICICI BANK LTD.,ICICIBANK,730556428,136231200,109376905.49481642,584651701
27-AUG-2026,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,32326998,7902375,6447475.89387431,24263172
27-AUG-2026,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,59123321,21735650,16622222.63431426,39544932
27-AUG-2026,INE669E01016,VODAFONE IDEA LIMITED,IDEA,9911451222,7778123925,5923002032.97833525,3492876627
27-AUG-2026,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,774014712,535195325,395217542.2188526,340096434
27-AUG-2026,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,133395043,104117250,76771710.42440005,49953580
27-AUG-2026,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,89743930,33019000,26652170.56640131,58604562
27-AUG-2026,INE562A01011,INDIAN BANK,INDIANB,52862157,14510000,9641787.59603368,40577261
27-AUG-2026,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,33882112,9526050,6848991.65002913,25339014
27-AUG-2026,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,93362279,41437200,36061074.59776524,52633090
27-AUG-2026,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,192747135,125356300,106032031.8226521,77077746
27-AUG-2026,INE009A01021,INFOSYS LIMITED,INFY,480358910,108262000,79792009.135517,376548955
27-AUG-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,188940800,130811359.0193334,6661912
27-AUG-2026,INE242A01010,INDIAN OIL CORP LTD,IOC,684903861,211516500,157770333.53048694,492888334
27-AUG-2026,INE202E01016,INDIAN RENEWABLE ENERGY,IREDA,119011160,177465975,103213238.6208703,9847363
27-AUG-2026,INE053F01010,INDIAN RAILWAY FIN CORP L,IRFC,290313356,175835100,95669199.93630595,180128488
27-AUG-2026,INE154A01025,ITC LTD,ITC,1252636416,312466500,189316861.28652925,1000687733
27-AUG-2026,INE749A01030,JINDAL STEEL LIMITED,JINDALSTEL,47028554,22510000,15733399.16385594,28943727
27-AUG-2026,INE758E01017,JIO FIN SERVICES LTD,JIOFIN,503888084,364571950,244613879.1104912,234079800
27-AUG-2026,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,91884320,33796925,27191425.33679156,60098678
27-AUG-2026,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,133262322,50658750,41482976.18669516,85116229
27-AUG-2026,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,58777042,34231250,25141389.8133737,30696800
27-AUG-2026,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,57524664,61327800,34846038.26790422,19802392
27-AUG-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,5551800,3699160.60062221,746286
27-AUG-2026,INE878B01027,KEI INDUSTRIES LTD.,KEI,9320940,2904650,1804960.49682163,7049932
27-AUG-2026,INE138Y01010,KFIN TECHNOLOGIES LIMITED,KFINTECH,19963417,9896900,5602906.08954483,13362340
27-AUG-2026,INE237A01036,KOTAK MAHINDRA BANK LTD,KOTAKBANK,835719519,276760000,205654269.3660274,588279273
27-AUG-2026,INE04I401011,KPIT TECHNOLOGIES LIMITED,KPITTECH,24623843,19359500,11738271.65971675,11654379
27-AUG-2026,INE947Q01028,LAURUS LABS LIMITED,LAURUSLABS,58713729,28998600,18315945.95643095,37462096
27-AUG-2026,INE0J1Y01017,LIFE INSURA CORP OF INDIA,LICI,66412476,79076200,53186972.58675124,9904879
27-AUG-2026,INE670K01029,LODHA DEVELOPERS LIMITED,LODHA,41547991,16382500,11151283.68044485,28319307
27-AUG-2026,INE018A01030,LARSEN & TOUBRO LTD.,LT,136114291,20940150,14435399.85678625,114873176
27-AUG-2026,INE498L01015,L&T FINANCE LIMITED,LTF,127778383,72144000,45015636.55351682,76373827
27-AUG-2026,INE214T01019,LTM LIMITED,LTM,13993790,4847550,3942648.14704548,9351452
27-AUG-2026,INE326A01037,LUPIN LIMITED,LUPIN,36444964,13773825,8712658.27809283,25910057
27-AUG-2026,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,123370506,18308600,13277849.13156291,103924131
27-AUG-2026,INE457A01014,BANK OF MAHARASHTRA,MAHABANK,304574298,28860000,16517551.50908516,272828031
27-AUG-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,87543000,67324319.37055811,10770484
27-AUG-2026,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,16930157,4118250,3167353.89311949,12916295
27-AUG-2026,INE196A01026,MARICO LIMITED,MARICO,79605726,23388000,17273625.90670745,58351813
27-AUG-2026,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,18059533,4260800,2445640.91853668,14710915
27-AUG-2026,INE027H01010,MAX HEALTHCARE INS LTD,MAXHEALTH,111353601,17511375,13226487.74026311,92559433
27-AUG-2026,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,11364224,8559225,5005801.89035222,5790210
27-AUG-2026,INE745G01043,MULTI COMMODITY EXCHANGE,MCX,38177113,14453775,7756161.30051077,28512096
27-AUG-2026,INE180A01020,MAX FINANCIAL SERV LTD,MFSL,34079851,10185200,8554142.09439178,23821716
27-AUG-2026,INE775A01035,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,693577843,194887350,140884879.58598582,518014071
27-AUG-2026,INE338I01027,MOTILAL OSWAL FIN LTD,MOTILALOFS,28863316,10041675,6767736.68211543,20652413
27-AUG-2026,INE356A01018,MPHASIS LIMITED,MPHASIS,17425625,5403750,4563262.5342581,11991081
