Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
15-JUL-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,6457350,3962115.4204745,No Fresh Positions
15-JUL-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,9057500,5971747.21423,42557952
15-JUL-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,5351250,2501911.0164325,5047324
15-JUL-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,63664700,40265150.751639,77269724
15-JUL-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,28451925,19052502.87053075,27630390
15-JUL-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,31562805,18973173.45572469,27689726
15-JUL-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,34826400,22727393.582866,65448687
15-JUL-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,32761225,21846519.997461,83142187
15-JUL-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,269487600,161567658.6386655,526574512
15-JUL-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2101625,1604804.442725,5276111
15-JUL-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,3034000,1387502.975221,1713072
15-JUL-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,107784000,84702102.938696,30921901
15-JUL-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,68772500,28055027.353025,64367220
15-JUL-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,8339100,5921913.201471,22467485
15-JUL-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4653375,2540733.609015,12207663
15-JUL-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,315415000,152744678.74455,249845470
15-JUL-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,16170500,9292478.3687375,33824135
15-JUL-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,15577525,7589524.734438,9935551
15-JUL-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,37078000,25545453.34302,48672905
15-JUL-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,18596600,11665097.2179085,28213941
15-JUL-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,106268125,74231010.08848125,217240573
15-JUL-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,5281575,2873568.2064295,9393664
15-JUL-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,23328600,13553309.013803,49038258
15-JUL-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,494025,313561.09178475,4818332
15-JUL-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,113273250,83244388.42215,266518436
15-JUL-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,176990400,109204121.360564,30866035
15-JUL-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,268816275,143353196.62562675,122149595
15-JUL-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,170960400,102191420.552236,70490954
15-JUL-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,20902350,7713380.581657,5383999
15-JUL-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,204292275,117962893.46389625,324636794
15-JUL-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,12916500,8510342.913985,29592020
15-JUL-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,94120775,61508552.56849325,339255070
15-JUL-2026,INE257A01026,BHEL,BHEL,218493415,172633125,95443733.94864625,112125010
15-JUL-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,123105000,61054737.26415,41574281
15-JUL-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,7745075,3195087.07300125,15410822
15-JUL-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,487625,232313.8545655,723243
15-JUL-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,80096125,43329717.39922625,247389990
15-JUL-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,3752625,2378523.8332,14595420
15-JUL-2026,INE118H01025,BSE LIMITED,BSE,61182611,20319000,9326448.142618,48797032
15-JUL-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37197674,15316125,7912719.61363525,27425070
15-JUL-2026,INE476A01022,CANARA BANK,CANBK,504315430,593905500,387663077.686945,91436580
