Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
09-APR-2025,INE836A01035,BIRLASOFT LIMITED,BSOFT,32732991,28516000,No Fresh Positions
09-APR-2025,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,67037050,No Fresh Positions
09-APR-2025,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,109606743,117672000,No Fresh Positions
09-APR-2025,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,181331250,No Fresh Positions
09-APR-2025,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41800237,33032000,6678225
09-APR-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,5133750,4931897
09-APR-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162341346,94456800,59767478
09-APR-2025,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,121576670,67932800,47565036
09-APR-2025,INE012A01025,ACC LIMITED,ACC,16266067,5612100,9840663
09-APR-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,17771875,50832594
09-APR-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,60081955,29451900,27625957
09-APR-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,22713750,94854357
09-APR-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,35366000,104618943
09-APR-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1231700,8840328
09-APR-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159683698,44622900,107076613
09-APR-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11629844,8028800,3019551
09-APR-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39789217,5813150,31986606
09-APR-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4320250,14985088
09-APR-2025,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,18003000,57585752
09-APR-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282439403,111895000,156422432
09-APR-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90786456,19604600,66642533
09-APR-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,24660712,8806899,14620777
09-APR-2025,INE399L01023,ADANI TOTAL GAS LIMITED,ATGL,55429320,7497350,45160504
09-APR-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114786901,41632000,67415555
09-APR-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,29389250,23782801
09-APR-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,546170617,97117500,421744586
