Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
18-JUL-2022,INE124G01033,DELTA CORP LIMITED,DELTACORP,35692018,34352800,No Fresh Positions
18-JUL-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40461675,6783000,31655591
18-JUL-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,1223000,8842647
18-JUL-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,65320,944577
18-JUL-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139793758,33593400,99210670
18-JUL-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81469651,17009200,60386968
18-JUL-2022,INE012A01025,ACC LIMITED,ACC,17078428,6839750,9384756
18-JUL-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,33226000,19184854
18-JUL-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,143563492,94021250,42364067
18-JUL-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10250318,374200,9363602
18-JUL-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,10579000,12768208
18-JUL-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,146025477,91200600,47523603
18-JUL-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321931,3288875,16016959
18-JUL-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,30852500,44755252
18-JUL-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,92365000,175707712
18-JUL-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90837873,10795600,75500379
18-JUL-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,928400,15970912
18-JUL-2022,INE100A01010,ATUL LTD,ATUL,3258166,129225,2966032
18-JUL-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,90477610,12864000,73089729
18-JUL-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,21094000,32528395
18-JUL-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,542647474,89962800,425552300
18-JUL-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26757382,4696750,20722762
