Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
22-SEP-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,12029100,5074584.03251782,No Fresh Positions
22-SEP-2026,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,45183075,64556000,42155659.1294004,No Fresh Positions
22-SEP-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,102816000,70764967.01307849,No Fresh Positions
22-SEP-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,234464200,198820427.2626424,No Fresh Positions
22-SEP-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,8256000,4071356.03122329,44458343
22-SEP-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4201250,1688745.86925413,5860489
22-SEP-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,67093300,37776582.89345954,79758292
22-SEP-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,36833400,24206418.13076254,22476475
22-SEP-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,30920703,17176966.60950706,29485933
22-SEP-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,34794000,25118551.74011095,63057528
22-SEP-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,34548175,18050537.67414454,86938169
22-SEP-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,298388150,203540188.7254912,484601982
22-SEP-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2445000,1754183.38400424,5126732
22-SEP-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,2881300,1301537.87042053,1799037
22-SEP-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,129366000,100955222.38086869,14668781
22-SEP-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,70790000,33185463.09607925,59236785
22-SEP-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,19050500,14410987.33269472,13978411
22-SEP-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4894625,2681420.44536216,12066977
22-SEP-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,314220000,143305197.95328735,259284950
22-SEP-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,15598750,7796403.31775331,35320210
22-SEP-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,13409600,6183878.90585956,11341197
22-SEP-2026,INE0LEZ01016,ATHER ENERGY LIMITED,ATHERENERG,32347671,17542500,5839717.07205018,24890570
22-SEP-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,40886000,23722587.50164273,50495771
22-SEP-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,21600150,12504913.61204582,27374124
22-SEP-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,125761250,96477108.47115456,194994474
22-SEP-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,4895400,1857981.11419058,10409252
22-SEP-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,18964200,8922680.54065495,53668887
22-SEP-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,406575,256682.93505873,4875210
22-SEP-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,113433000,72577191.52328155,277185633
22-SEP-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,159487200,112228820.1548493,27841336
22-SEP-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,253299150,158804650.47108725,106698141
22-SEP-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,150290400,84029770.78396321,88652604
22-SEP-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,26487275,8333941.11111753,4763439
22-SEP-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,204605775,114958764.62267201,327640922
22-SEP-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,17167500,9329671.35254031,28772692
22-SEP-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,107998850,64781938.00613649,335981684
22-SEP-2026,INE257A01026,BHEL,BHEL,218493415,143335500,83537579.80030765,124031164
22-SEP-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,109120000,59109337.16172816,43519681
22-SEP-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,12285000,6739908.13462306,11866001
22-SEP-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,545500,216025.09248176,739532
22-SEP-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,62137450,37569171.94420867,253150535
22-SEP-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,5352000,2636406.10030203,14337538
