Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
29-MAR-2022,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1606294231,1357160000,No Fresh Positions
29-MAR-2022,INE191H01014,PVR LIMITED,PVR,10116165,8846145,No Fresh Positions
29-MAR-2022,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,16780500,No Fresh Positions
29-MAR-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40446155,4599350,33824497
29-MAR-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,296000,9769647
29-MAR-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,57275,952622
29-MAR-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139989683,30470000,102520198
29-MAR-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,66687240,17214600,46138278
29-MAR-2022,INE012A01025,ACC LIMITED,ACC,17078428,3765500,12459006
29-MAR-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,29781000,22629854
29-MAR-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,145684825,112343750,26056833
29-MAR-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10251929,263800,9475532
29-MAR-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,12273000,11074208
29-MAR-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145854205,53328000,85233494
29-MAR-2022,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11999202,2938600,8460641
29-MAR-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321931,3691750,15614084
29-MAR-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79597108,27490000,48127252
29-MAR-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,101560500,166512212
29-MAR-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90837871,10312950,75983027
29-MAR-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,964150,15935162
29-MAR-2022,INE100A01010,ATUL LTD,ATUL,3258166,222825,2872432
29-MAR-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,44974045,4494500,38230842
29-MAR-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,24372750,29249645
29-MAR-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,541823383,83946000,430786213
29-MAR-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26775498,3772750,21663973
29-MAR-2022,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12437219,1066000,10749358
29-MAR-2022,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,52956314,8244000,42064498
29-MAR-2022,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,1591000,13728128
29-MAR-2022,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23498849,17144000,5179906
