Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
11-SEP-2025,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,4769908,5472525,No Fresh Positions
11-SEP-2025,INE976G01028,RBL BANK LIMITED,RBLBANK,121801958,105483025,No Fresh Positions
11-SEP-2025,INE466L01038,360 ONE WAM LIMITED,360ONE,73064092,5433000,63977887
11-SEP-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,4430000,5635647
11-SEP-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,163088564,87888100,67046035
11-SEP-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,69209851,25514325,40235033
11-SEP-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,60081955,26776200,30301657
11-SEP-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,25768200,91799907
11-SEP-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,34765725,105219218
11-SEP-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,11230378,1980750,8688109
11-SEP-2025,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,4089938,1601300,2284141
11-SEP-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159683698,68787600,82911913
11-SEP-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,12863513,10798250,1422087
11-SEP-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39789203,9770600,28029142
11-SEP-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20320057,4223625,15080429
11-SEP-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,564878806,249185000,287449865
11-SEP-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90755647,19477750,66740114
11-SEP-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,24660712,12610600,10817076
11-SEP-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114978915,30957000,78272969
11-SEP-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,30193900,22978151
11-SEP-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,550740541,143572500,379631013
11-SEP-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25095463,6186300,17654389
11-SEP-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,131319425,26814500,97938953
11-SEP-2025,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,562232690,120876750,413244305
11-SEP-2025,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,190337283,113385600,67434818
11-SEP-2025,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,193561875,160441848
11-SEP-2025,INE084A01016,BANK OF INDIA,BANKINDIA,242361229,82872400,147370767
11-SEP-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,18382289,10798450,6664724
11-SEP-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,201138750,477514060
11-SEP-2025,INE465A01025,BHARAT FORGE LTD,BHARATFORG,53477001,19946000,30857150
11-SEP-2025,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,593304654,61774225,501865196
11-SEP-2025,INE257A01026,BHEL,BHEL,256482590,110271000,133387460
11-SEP-2025,INE376G01013,BIOCON LIMITED.,BIOCON,121308233,60922500,54320321
11-SEP-2025,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,26112989,3015350,21791989
11-SEP-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,463975,1186823
11-SEP-2025,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,408027660,52232825,335393452
11-SEP-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,6638125,15993801
11-SEP-2025,INE118H01025,BSE LIMITED,BSE,64513850,38453250,22834907
11-SEP-2025,INE596I01012,COMPUTER AGE MNGT SER LTD,CAMS,9894953,3196950,6203255
11-SEP-2025,INE476A01022,CANARA BANK,CANBK,672420574,368988750,269810795
11-SEP-2025,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,35530000,19060325,14693175
11-SEP-2025,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,137376663,31972750,98535079
11-SEP-2025,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,84283024,19770625,60298247
11-SEP-2025,INE059A01026,CIPLA LTD,CIPLA,114147881,18605250,89835236
11-SEP-2025,INE522F01014,COAL INDIA LTD,COALINDIA,454398477,108386100,323292453
11-SEP-2025,INE591G01025,COFORGE LIMITED,COFORGE,66885199,16398000,47142939
11-SEP-2025,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,8174025,17147837
11-SEP-2025,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,68852343,32866250,32543475
11-SEP-2025,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,128770582,56260800,66071252
11-SEP-2025,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165600,4975600,20831720
11-SEP-2025,INE136B01020,CYIENT LIMITED,CYIENT,16888762,5719225,10325098
