Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
15-SEP-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,178207200,127399181.4765401,No Fresh Positions
15-SEP-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,179545600,120998380.2843221,No Fresh Positions
15-SEP-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,7852200,3841645.76850008,No Fresh Positions
15-SEP-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,106779000,72984216.26845376,No Fresh Positions
15-SEP-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,239685900,203518263.8790748,No Fresh Positions
15-SEP-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,8499000,4287459.09210854,44242240
15-SEP-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,3660375,1761283.56367722,5787952
15-SEP-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,69136200,41415704.91546509,76119170
15-SEP-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,36897525,23443263.56688738,23239630
15-SEP-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,29825607,16977893.16051895,29685006
15-SEP-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,33910800,25328645.08427232,62847435
15-SEP-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,33956325,18893289.69538777,86095417
15-SEP-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,304795900,198049801.6619304,490092369
15-SEP-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2373500,1716134.55377026,5164780
15-SEP-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,2794600,1376527.28478026,1724048
15-SEP-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,121884000,96986272.86576871,18637731
15-SEP-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,73135000,32916260.37983331,59505987
15-SEP-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,17239250,13251583.21947382,15137815
15-SEP-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4813875,2594369.65129116,12154027
15-SEP-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,306110000,147026588.27394616,255563560
15-SEP-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,16768500,8644521.5396773,34472092
15-SEP-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,11928475,6253116.25158943,11271960
15-SEP-2026,INE0LEZ01016,ATHER ENERGY LIMITED,ATHERENERG,32347671,12928875,4373051.92659908,26357235
