Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
09-FEB-2024,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282359403,253350000,No Fresh Positions
09-FEB-2024,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,51799000,No Fresh Positions
09-FEB-2024,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23040698,21006400,No Fresh Positions
09-FEB-2024,INE376G01013,BIOCON LIMITED.,BIOCON,93713228,83267500,No Fresh Positions
09-FEB-2024,INE124G01033,DELTA CORP LIMITED,DELTACORP,35744131,32613000,No Fresh Positions
09-FEB-2024,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,55416800,No Fresh Positions
09-FEB-2024,INE383A01012,THE INDIA CEMENTS LIMITED,INDIACEM,44362911,40649300,No Fresh Positions
09-FEB-2024,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,166895623,175596400,No Fresh Positions
09-FEB-2024,INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,525248000,No Fresh Positions
09-FEB-2024,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,289139949,277464000,No Fresh Positions
09-FEB-2024,INE628A01036,UPL LIMITED,UPL,101555650,82236700,No Fresh Positions
09-FEB-2024,INE256A01028,ZEE ENTERTAINMENT ENT LTD,ZEEL,184440627,189492000,No Fresh Positions
09-FEB-2024,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40929582,25908000,12975102
09-FEB-2024,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2145000,7920647
09-FEB-2024,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,269360,740537
09-FEB-2024,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,161301726,111688200,41548439
09-FEB-2024,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,83625756,74362600,5081868
09-FEB-2024,INE012A01025,ACC LIMITED,ACC,16266067,8481900,6970863
09-FEB-2024,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62450033,27954300,31373231
09-FEB-2024,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,62795200,77189743
09-FEB-2024,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10343828,2080800,7745836
09-FEB-2024,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,146089317,80562600,58222251
09-FEB-2024,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3902125,15403213
09-FEB-2024,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,30773400,44834352
