Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
09-MAR-2023,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23485900,19888000,No Fresh Positions
09-MAR-2023,INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,18282414,18172700,No Fresh Positions
09-MAR-2023,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40485931,7898200,30563434
09-MAR-2023,INE117A01022,ABB INDIA LIMITED,ABB,10595418,3293500,6772147
09-MAR-2023,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,172480,837417
09-MAR-2023,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139924470,51634800,81293446
09-MAR-2023,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81409858,33152600,44186765
09-MAR-2023,INE012A01025,ACC LIMITED,ACC,16266067,9117000,6335763
09-MAR-2023,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62410300,50454250,8835535
09-MAR-2023,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,150644875,87013750,56098881
09-MAR-2023,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244418,700400,9031797
09-MAR-2023,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145915904,111528000,27092108
09-MAR-2023,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3191125,16114213
09-MAR-2023,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,31717000,43890752
09-MAR-2023,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282349803,101110000,167122312
09-MAR-2023,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,12467400,73803039
09-MAR-2023,INE006I01046,ASTRAL LIMITED,ASTRAL,17789950,2790975,14109477
09-MAR-2023,INE100A01010,ATUL LTD,ATUL,3243265,274050,2807051
09-MAR-2023,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99242739,14953000,79327602
09-MAR-2023,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,22716000,30906395
09-MAR-2023,INE238A01034,AXIS BANK LIMITED,AXISBANK,550032604,72610800,449920173
09-MAR-2023,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25475409,3375000,20826638
09-MAR-2023,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124591606,17932500,100429525
09-MAR-2023,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53162709,11814500,38690073
09-MAR-2023,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2183100,13136028
09-MAR-2023,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193343252,57310200,126365889
09-MAR-2023,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,199900350,154103373
09-MAR-2023,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,4896650,7275134
09-MAR-2023,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,179635500,499017310
09-MAR-2023,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48571109,11132000,35010553
09-MAR-2023,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,13911000,34519421
09-MAR-2023,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,519783453,58236900,435557380
09-MAR-2023,INE257A01026,BHEL,BHEL,256482590,155410500,88247960
09-MAR-2023,INE376G01013,BIOCON LIMITED.,BIOCON,93122081,67617700,20848276
09-MAR-2023,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,375650,1275148
09-MAR-2023,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202646440,28600200,163913918
09-MAR-2023,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2668600,19963326
09-MAR-2023,INE836A01035,BIRLASOFT LIMITED,BSOFT,32027491,13296000,17130116
09-MAR-2023,INE476A01014,CANARA BANK,CANBK,134484114,81278100,46481808
09-MAR-2023,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644452,5367375,12344854
09-MAR-2023,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,32814609,9516000,21657878
09-MAR-2023,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79736146,13696250,62053088
09-MAR-2023,INE059A01026,CIPLA LTD,CIPLA,106518136,34524750,66667479
09-MAR-2023,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,77485800,319062016
09-MAR-2023,INE591G01017,COFORGE LIMITED,COFORGE,7328365,1669500,5292446
09-MAR-2023,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,2722650,22599212
