Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
01-JUL-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,8652500,7395918.8066,41133780
01-JUL-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,3268125,2477037.11988875,5072198
01-JUL-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,59157300,39736668.472785,77798206
01-JUL-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,23363775,19781181.46642575,26901712
01-JUL-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,26909265,18688393.22141965,27974506
01-JUL-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,28047000,22443450.775494,65732629
01-JUL-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,32982575,24318446.39631025,80670261
01-JUL-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,186818750,136635608.704297,551506562
01-JUL-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,1495625,1219264.53167125,5661651
01-JUL-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,2944900,1944343.623281,1156232
01-JUL-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,102981600,85822774.1213,29801229
01-JUL-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,38347500,23624546.155175,68797701
01-JUL-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,7331800,6075921.8053795,22313477
01-JUL-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,3380000,2386903.37578,12361494
01-JUL-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,299735000,176223871.3109,226366277
01-JUL-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,12635000,9123919.1231275,33992694
01-JUL-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,11942925,6564796.73516625,10960279
01-JUL-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,30986000,25556728.0149,48661630
01-JUL-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,15999500,12540173.2420785,27338865
01-JUL-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,74375625,62321655.61514375,229149927
01-JUL-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,4742625,3167509.36613225,9099723
01-JUL-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,21481200,15427683.497443,47163884
01-JUL-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,366000,296928.01491675,4834965
01-JUL-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,97946250,80869558.9431325,268893266
01-JUL-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,149727600,108964424.320404,31105732
01-JUL-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,160719975,115834311.29382325,149668480
01-JUL-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,120640000,92715309.389824,79967065
01-JUL-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,9945000,5590249.7064745,7507130
01-JUL-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,178170600,120425204.925357,322174482
01-JUL-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,12225500,9480303.0682,28622060
01-JUL-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,71180650,54670856.87096125,346092765
01-JUL-2026,INE257A01026,BHEL,BHEL,218493415,106622250,76016275.294395,131552468
01-JUL-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,62360000,43344195.22475,59284823
01-JUL-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,4290000,3323725.54756225,15282184
01-JUL-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,355100,248849.13151775,706708
01-JUL-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,67533150,45259864.12843575,245459843
01-JUL-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,3470625,2451510.974905,14522433
01-JUL-2026,INE118H01025,BSE LIMITED,BSE,61182611,13962800,7815717.53174,50307762
01-JUL-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37197674,9892575,6667349.13679675,28670441
01-JUL-2026,INE476A01022,CANARA BANK,CANBK,504315430,482530500,362026596.0098125,117073062
01-JUL-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,17678550,9049000.02722125,16266124
01-JUL-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,101855520,25866350,19752707.3388595,77010036
01-JUL-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,64859568,18014375,14619220.55395,46997369
01-JUL-2026,INE059A01026,CIPLA LTD,CIPLA,70510364,21167975,14220452.41412625,52764393
01-JUL-2026,INE522F01014,COAL INDIA LTD,COALINDIA,340798858,112264650,73704817.3996395,250054097
01-JUL-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,12661431,6976800,4651737.981428,7376621
01-JUL-2026,INE591G01025,COFORGE LIMITED,COFORGE,52331255,29207275,20475700.18812575,29238992
01-JUL-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,14245222,6745750,4737050.5396835,8795910
01-JUL-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,51639257,28952500,22784740.254025,26272553
01-JUL-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,96587231,60090350,52610744.65944,39147124
01-JUL-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,5180600,4333232.416582,15022257
01-JUL-2026,INE016A01026,DABUR INDIA LTD,DABUR,82677434,48071250,32290989.9058125,46252572
01-JUL-2026,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425160,5702775,4706721.573211,7097180
01-JUL-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,112291216,48596500,29773909.29604075,76902745
01-JUL-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,13600537,4516200,3389782.730553,9530727
01-JUL-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6504348,4829650,2997522.603183,3181607
01-JUL-2026,INE271C01023,DLF LIMITED,DLF,96251298,66113350,44175771.45544,47262961
01-JUL-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,22726551,4024200,2839269.423494,18750954
01-JUL-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,87080351,24630000,14353445.6492625,68372887
01-JUL-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,19219348,7013300,4048096.136705,14210284
01-JUL-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,1379083826,281991125,223055850.967756,1087073783
01-JUL-2026,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,68856800,39335400,24190289.071616,41223670
01-JUL-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,365889239,117202500,92415784.756925,255178992
01-JUL-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,736885,323375,221841.3696135,478199
01-JUL-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,51966225,12924675,10809173.11297075,38558740
01-JUL-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,448489660,104746300,75779479.9125065,350285697
01-JUL-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,22582219,14977125,12283019.5675275,9170088
01-JUL-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,533339406,220521600,152600671.927183,354071763
01-JUL-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,6348046,2182675,1881853.63523925,4148790
01-JUL-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,72056552,13605500,11437952.349515,57015772
01-JUL-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,21839065,11557000,8716809.70115975,12030302
01-JUL-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38058064,14569000,13409511.7092125,22745649
01-JUL-2026,INE200A01026,GE VERNOVA T&D INDIA LTD,GVT&D,18819420,2289125,1473128.01731875,16405320
01-JUL-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,28450886,8983650,5915915.0259045,21112426
01-JUL-2026,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,38163575,14303500,10980565.302195,25274830
01-JUL-2026,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,158152529,61998000,43818952.439252,106425950
01-JUL-2026,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30606078,6997800,5605231.774497,23470542
01-JUL-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,1783013543,434199350,358160951.788049,1335701914
01-JUL-2026,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,161090614,53916500,40058286.758478,112977796
