Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
28-FEB-2025,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41800237,23272000,16438225
28-FEB-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,4369500,5696147
28-FEB-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162341346,92793600,61430678
28-FEB-2025,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,121576670,67659800,47838036
28-FEB-2025,INE012A01025,ACC LIMITED,ACC,16266067,7044000,8408763
28-FEB-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,9316250,59288219
28-FEB-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,60081955,28307100,28770757
28-FEB-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,20911125,96656982
28-FEB-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,32217600,107767343
28-FEB-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1144600,8927428
28-FEB-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159683698,42873300,108826213
28-FEB-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11629844,7882000,3166351
28-FEB-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39789217,5260150,32539606
28-FEB-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3466125,15839213
28-FEB-2025,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,18013200,57575552
28-FEB-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282439403,72442500,195874932
28-FEB-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90786456,20580200,65666933
28-FEB-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,24660712,7580385,15847291
28-FEB-2025,INE399L01023,ADANI TOTAL GAS LIMITED,ATGL,55429320,7409000,45248854
28-FEB-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114786901,33475000,75572555
28-FEB-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,15341150,37830901
28-FEB-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,546170617,109427500,409434586
28-FEB-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25109848,3709050,20145305
28-FEB-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,125314034,22636000,96412332
28-FEB-2025,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,56041443,13740125,39499245
28-FEB-2025,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2252700,13066428
28-FEB-2025,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193371093,144488400,39214138
28-FEB-2025,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,205285275,148718448
28-FEB-2025,INE084A01016,BANK OF INDIA,BANKINDIA,242361229,79540125,150703042
28-FEB-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,180051600,498601210
28-FEB-2025,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,58320348,17140200,38264130
28-FEB-2025,INE465A01025,BHARAT FORGE LTD,BHARATFORG,53479551,16676000,34129573
28-FEB-2025,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,569977208,55779725,485698622
28-FEB-2025,INE257A01026,BHEL,BHEL,256482590,121713375,121945085
28-FEB-2025,INE376G01013,BIOCON LIMITED.,BIOCON,93979873,43955000,45325879
28-FEB-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,512425,1138373
28-FEB-2025,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,408027660,89688600,297937677
28-FEB-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,3858100,18773826
28-FEB-2025,INE118H01025,BSE LIMITED,BSE,21145594,12209125,7879189
28-FEB-2025,INE836A01035,BIRLASOFT LIMITED,BSOFT,32732991,15316000,15780341
28-FEB-2025,INE596I01012,COMPUTER AGE MNGT SER LTD,CAMS,9873151,1902625,7476868
28-FEB-2025,INE476A01022,CANARA BANK,CANBK,672420574,417204000,221595545
28-FEB-2025,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,35530000,16459450,17294050
