Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
26-DEC-2024,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41610105,21470000,18059599
26-DEC-2024,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2206625,7859022
26-DEC-2024,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,89840,920057
26-DEC-2024,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162060517,81226800,72730691
26-DEC-2024,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,94669741,64747800,25188453
26-DEC-2024,INE012A01025,ACC LIMITED,ACC,16266067,6301800,9150963
26-DEC-2024,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,6621250,61983219
26-DEC-2024,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,57246033,25563900,28819831
26-DEC-2024,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,10957875,106610232
26-DEC-2024,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,35277600,104707343
26-DEC-2024,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1174400,8897628
26-DEC-2024,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159680517,44089200,107607291
26-DEC-2024,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11609893,2778800,8250598
26-DEC-2024,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39785217,4268250,33527706
26-DEC-2024,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,1901500,17403838
26-DEC-2024,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,17430100,58158652
26-DEC-2024,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282419403,81517500,186780932
26-DEC-2024,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90783403,21635200,64609032
26-DEC-2024,INE006I01046,ASTRAL LIMITED,ASTRAL,24659168,5776947,17649262
26-DEC-2024,INE399L01023,ADANI TOTAL GAS LIMITED,ATGL,55429320,2825650,49832204
26-DEC-2024,INE100A01010,ATUL LTD,ATUL,3228447,669800,2397224
26-DEC-2024,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114647775,28290000,80625386
26-DEC-2024,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,15436850,37735201
26-DEC-2024,INE238A01034,AXIS BANK LIMITED,AXISBANK,541570224,94329375,420162337
26-DEC-2024,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25109848,3853800,20000555
26-DEC-2024,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,125248628,17430500,101555696
26-DEC-2024,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,56018455,13881750,39335782
26-DEC-2024,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,1766700,13552428
26-DEC-2024,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193371053,125090000,58612500
26-DEC-2024,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,214618950,139384773
26-DEC-2024,INE084A01016,BANK OF INDIA,BANKINDIA,242361229,34112750,196130417
26-DEC-2024,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,3332625,8839159
26-DEC-2024,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,153284400,525368410
26-DEC-2024,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,58313322,11812680,43584975
26-DEC-2024,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,12877000,35553421
26-DEC-2024,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,569553372,51151325,489924378
26-DEC-2024,INE257A01026,BHEL,BHEL,256482590,109869375,133789085
26-DEC-2024,INE376G01013,BIOCON LIMITED.,BIOCON,93926056,40890000,48339753
26-DEC-2024,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,242375,1408423
26-DEC-2024,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,408027660,88430400,299195877
26-DEC-2024,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,3247000,19384926
26-DEC-2024,INE118H01025,BSE LIMITED,BSE,20874157,4012875,15817574
26-DEC-2024,INE836A01035,BIRLASOFT LIMITED,BSOFT,32673011,13093000,17946360
26-DEC-2024,INE596I01012,COMPUTER AGE MNGT SER LTD,CAMS,9856590,587750,8776010
26-DEC-2024,INE476A01022,CANARA BANK,CANBK,672420574,366646500,272153045
26-DEC-2024,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644752,7973550,9738964
26-DEC-2024,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,35530000,6934550,26818950
26-DEC-2024,INE486A01021,CESC LTD,CESC,126959974,10003500,110608475
26-DEC-2024,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,128183976,5452000,116322777
26-DEC-2024,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,31728204,12275900,17865893
26-DEC-2024,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,83645930,14161250,65302383
26-DEC-2024,INE059A01026,CIPLA LTD,CIPLA,111334698,15066350,90701613
26-DEC-2024,INE522F01014,COAL INDIA LTD,COALINDIA,454398477,79159500,352519053
26-DEC-2024,INE591G01017,COFORGE LIMITED,COFORGE,13338755,3373725,9298092
