Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
26-APR-2023,INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,18282414,20098000,No Fresh Positions
26-APR-2023,INE256A01028,ZEE ENTERTAINMENT ENT LTD,ZEEL,184440627,163212000,No Fresh Positions
26-APR-2023,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40485931,5481650,32979984
26-APR-2023,INE117A01022,ABB INDIA LIMITED,ABB,10595418,3127250,6938397
26-APR-2023,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,118360,891537
26-APR-2023,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139924470,54939600,77988646
26-APR-2023,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81409858,30425200,46914165
26-APR-2023,INE012A01025,ACC LIMITED,ACC,16266067,6234750,9218013
26-APR-2023,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62410300,23699500,35590285
26-APR-2023,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,150644875,59053750,84058881
26-APR-2023,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244418,857200,8874997
26-APR-2023,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145915904,82544400,56075708
26-APR-2023,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3863625,15441713
26-APR-2023,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,25035500,50572252
26-APR-2023,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282349803,104240000,163992312
26-APR-2023,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,9598000,76672439
26-APR-2023,INE006I01046,ASTRAL LIMITED,ASTRAL,23719933,2828836,19705100
26-APR-2023,INE100A01010,ATUL LTD,ATUL,3243265,251550,2829551
26-APR-2023,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99242739,31006000,63274602
26-APR-2023,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,24431000,29191395
26-APR-2023,INE238A01034,AXIS BANK LIMITED,AXISBANK,550032604,96165600,426365373
26-APR-2023,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25475409,8841000,15360638
26-APR-2023,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124591606,16009000,102353025
26-APR-2023,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53162709,12682750,37821823
26-APR-2023,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2087400,13231728
26-APR-2023,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23485900,17296000,5015605
26-APR-2023,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193343252,83055600,100620489
26-APR-2023,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,197302950,156700773
26-APR-2023,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,4293025,7878759
26-APR-2023,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,156932400,521720410
26-APR-2023,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48571109,11853600,34288953
26-APR-2023,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,12748000,35682421
26-APR-2023,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,519783453,59131800,434662480
26-APR-2023,INE257A01026,BHEL,BHEL,256482590,205915500,37742960
26-APR-2023,INE376G01013,BIOCON LIMITED.,BIOCON,93122081,50698900,37767076
26-APR-2023,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,245400,1405398
26-APR-2023,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202646440,31597200,160916918
26-APR-2023,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2526000,20105926
26-APR-2023,INE836A01035,BIRLASOFT LIMITED,BSOFT,32027491,12200000,18226116
26-APR-2023,INE476A01014,CANARA BANK,CANBK,134484114,74703600,53056308
26-APR-2023,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644452,6575400,11136829
26-APR-2023,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,32814609,12732000,18441878
26-APR-2023,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79736146,15930000,59819338
26-APR-2023,INE059A01026,CIPLA LTD,CIPLA,106518136,20090200,81102029
26-APR-2023,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,93198000,303349816
26-APR-2023,INE591G01017,COFORGE LIMITED,COFORGE,7328365,2711550,4250396
26-APR-2023,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,2899750,22422112
26-APR-2023,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,14997000,37330780
26-APR-2023,INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,25044867,2201500,21591123
26-APR-2023,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,127177139,32014500,88803782
26-APR-2023,INE491A01021,CITY UNION BANK LTD,CUB,148022705,63260000,77361569
26-APR-2023,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,4378800,21428389
26-APR-2023,INE016A01026,DABUR INDIA LTD,DABUR,119644656,20436250,93226173
26-APR-2023,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,16549657,3191500,12530674
26-APR-2023,INE288B01029,DEEPAK NITRITE LTD,DEEPAKNTR,14808054,3492750,10574901
