Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
03-JUN-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3260820,5806600,2913297.056997,No Fresh Positions
03-JUN-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,7308350,4398349.156772,No Fresh Positions
03-JUN-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,37756901,6133000,5011869.220075,30857186
03-JUN-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,3855875,2370761.37197625,5178474
03-JUN-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123369777,72000600,55191589.917434,62009698
03-JUN-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,35196587,29252475,20466568.96674925,12970188
03-JUN-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,33645895,31062225,20312283.24254122,11651317
03-JUN-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,64724093,34148400,22958126.173268,38529762
03-JUN-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,88142691,31975100,23526320.626311,60209235
03-JUN-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,482906787,164521200,103821677.5905175,354939770
03-JUN-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,5873365,2460500,1392363.27956375,4187333
03-JUN-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,97233107,97842150,74760265.3665905,17611186
03-JUN-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,96940911,50630000,21524832.475975,70569032
03-JUN-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29871221,7755300,6046891.7015095,22330768
03-JUN-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,3890250,2059855.53106875,12688542
03-JUN-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,423890000,199777614.02905,202812534
03-JUN-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,62818628,20010000,12243705.6461025,47433990
03-JUN-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,17577908,9449025,6335320.817052,10363691
03-JUN-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,86532345,35582000,28557796.6403,53647931
03-JUN-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,22484550,17490813.855912,22388224
03-JUN-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,331596880,89250000,69582019.01120625,245435016
03-JUN-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12553818,5381625,2864888.061323,9061239
03-JUN-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65784745,19009350,11567218.364113,50928289
03-JUN-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,371975,292245.277748,4839648
03-JUN-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,387962395,106503000,75996016.07591,292568259
03-JUN-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,145616308,150588000,110860222.776132,27475269
03-JUN-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,179480925,128231138.68874725,137271653
03-JUN-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,106126800,71688944.187872,100993430
03-JUN-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,14724600,7113517.29915175,5983862
03-JUN-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,189693150,120299075.7347,388690531
03-JUN-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,9917500,6900518.258505,31201845
03-JUN-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,342859930,82016825,61344786.39996725,264372147
03-JUN-2026,INE257A01026,BHEL,BHEL,192361942,160293000,118993963.72156625,63749881
03-JUN-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108004143,63552500,43865551.5494,58738384
03-JUN-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,15745076,4263675,2657447.940096,12300374
03-JUN-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,868841,621200,329281.01350775,496117
03-JUN-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,72962425,51580864.379375,239138843
03-JUN-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,14553559,4749000,2778165.5583975,11047715
03-JUN-2026,INE118H01025,BSE LIMITED,BSE,61182611,23855075,10567962.823105,47555517
03-JUN-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37147595,8771175,5704706.8707905,29585508
03-JUN-2026,INE476A01022,CANARA BANK,CANBK,504315430,401442750,289162424.8431,189937233
03-JUN-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,23378550,11505084.73316625,13810040
03-JUN-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,103080397,29937000,21404234.5388545,76522142
03-JUN-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63646863,22950625,18005488.11350625,42459031
03-JUN-2026,INE059A01026,CIPLA LTD,CIPLA,76385219,24056100,16458702.984339,56107255
03-JUN-2026,INE522F01014,COAL INDIA LTD,COALINDIA,320531323,171298800,84849187.3301195,219655569
03-JUN-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,12661431,5148400,3315399.670068,8712959
03-JUN-2026,INE591G01025,COFORGE LIMITED,COFORGE,50256271,26718025,16982441.46316375,30761015
03-JUN-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,19054573,7908625,4925012.41351225,13176831
03-JUN-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,51639257,45521250,27446756.004775,21610538
03-JUN-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,96587231,64219600,52603044.984935,39154824
03-JUN-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,6274600,3873478.782916,15482011
03-JUN-2026,INE016A01026,DABUR INDIA LTD,DABUR,76827821,40941250,24692529.940025,48293900
03-JUN-2026,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425160,4711850,3739262.16023825,8064639
03-JUN-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,83072620,41192900,28983399.04719075,49935589
03-JUN-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,15815194,4523100,2739119.569652,12285314
03-JUN-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6478285,4729800,2711920.5178495,3442450
03-JUN-2026,INE271C01023,DLF LIMITED,DLF,96251298,54852975,41704188.97881875,49734544
03-JUN-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,16494391,5229900,3582006.6518335,12087664
03-JUN-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,61026255,24950625,16060278.84351875,41914663
03-JUN-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20960143,5876900,3386751.811835,16525384
03-JUN-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,1366821859,288444050,219251182.12193375,1079229583
03-JUN-2026,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,50211048,52569000,28325512.129786,19374983
03-JUN-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,359450597,158805000,119652155.896775,221825911
03-JUN-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,736885,466750,270263.67994975,429777
03-JUN-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,70894446,12851050,9836550.419036,57513173
03-JUN-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,471255857,121823950,79593567.2426735,368099496
03-JUN-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,15844372,18477375,12895209.45949625,2156943
03-JUN-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,534704421,246008250,142143891.4717055,365825308
03-JUN-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,6329596,3619825,2487962.16829575,3525154
03-JUN-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,53250524,15593500,12523794.297285,38064203
03-JUN-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,23870110,11860250,8190883.69085975,14485720
03-JUN-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38401443,17239750,14984931.56993,21496439
