Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
11-APR-2025,INE836A01035,BIRLASOFT LIMITED,BSOFT,32732991,28072000,No Fresh Positions
11-APR-2025,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,66178450,No Fresh Positions
11-APR-2025,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,109606743,115299000,No Fresh Positions
11-APR-2025,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,172380000,No Fresh Positions
11-APR-2025,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41800237,31947000,7763225
11-APR-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,5076125,4989522
11-APR-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162341346,94230000,59994278
11-APR-2025,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,121576670,68699800,46798036
11-APR-2025,INE012A01025,ACC LIMITED,ACC,16266067,5623500,9829263
11-APR-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,17727500,50876969
11-APR-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,60081955,29700000,27377857
11-APR-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,22621500,94946607
11-APR-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,34803600,105181343
11-APR-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1198100,8873928
11-APR-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159683698,44214300,107485213
11-APR-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11629844,8002400,3045951
11-APR-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39789217,5948950,31850806
11-APR-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4378375,14926963
11-APR-2025,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,17210800,58377952
