Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
25-JUL-2022,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,79961838,75412000,No Fresh Positions
25-JUL-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40461675,9317700,29120891
25-JUL-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,1571500,8494147
25-JUL-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,63840,946057
25-JUL-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139793758,36763200,96040870
25-JUL-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81469651,17633200,59762968
25-JUL-2022,INE012A01025,ACC LIMITED,ACC,17078428,6976750,9247756
25-JUL-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,34213000,18197854
25-JUL-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,143563492,94386250,41999067
25-JUL-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10250318,418000,9319802
25-JUL-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,10558000,12789208
25-JUL-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,146025477,94894200,43830003
25-JUL-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321931,3365125,15940709
25-JUL-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,28574000,47033752
25-JUL-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,104240000,163832712
25-JUL-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90837873,11523800,74772179
25-JUL-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,1188000,15711312
25-JUL-2022,INE100A01010,ATUL LTD,ATUL,3258166,299700,2795557
25-JUL-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,90477610,12424000,73529729
25-JUL-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,21501000,32121395
25-JUL-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,542647474,105050400,410464700
25-JUL-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26757382,4707000,20712512
25-JUL-2022,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12452908,2032000,9798262
