Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
17-MAR-2023,INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,18282414,14792700,No Fresh Positions
17-MAR-2023,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,80566863,75044000,No Fresh Positions
17-MAR-2023,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40485931,7911800,30549834
17-MAR-2023,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2907000,7158647
17-MAR-2023,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,154800,855097
17-MAR-2023,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139924470,57240000,75688246
17-MAR-2023,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81409858,43734600,33604765
17-MAR-2023,INE012A01025,ACC LIMITED,ACC,16266067,10008250,5444513
17-MAR-2023,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62410300,49073000,10216785
17-MAR-2023,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,150644875,83478750,59633881
17-MAR-2023,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244418,733000,8999197
17-MAR-2023,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145915904,114026400,24593708
17-MAR-2023,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3425000,15880338
17-MAR-2023,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,33810000,41797752
17-MAR-2023,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282349803,116965000,151267312
17-MAR-2023,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,11802600,74467839
17-MAR-2023,INE006I01046,ASTRAL LIMITED,ASTRAL,23719927,3836251,18697679
17-MAR-2023,INE100A01010,ATUL LTD,ATUL,3243265,314625,2766476
17-MAR-2023,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99242739,20719000,73561602
17-MAR-2023,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,25872000,27750395
17-MAR-2023,INE238A01034,AXIS BANK LIMITED,AXISBANK,550032604,82981200,439549773
17-MAR-2023,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25475409,3572250,20629388
17-MAR-2023,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124591606,20333500,98028525
17-MAR-2023,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53162709,13034625,37469948
17-MAR-2023,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2214000,13105128
17-MAR-2023,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23485900,16443200,5868405
17-MAR-2023,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193343252,77427000,106249089
17-MAR-2023,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,228618000,125385723
17-MAR-2023,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,5198600,6973184
17-MAR-2023,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,191451600,487201210
17-MAR-2023,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48571109,11157300,34985253
17-MAR-2023,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,15420000,33010421
17-MAR-2023,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,519783453,57572850,436221430
17-MAR-2023,INE257A01026,BHEL,BHEL,256482590,159264000,84394460
17-MAR-2023,INE376G01013,BIOCON LIMITED.,BIOCON,93122081,83260000,5205976
17-MAR-2023,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,371900,1278898
