Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
18-SEP-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,171640800,121980538.6005165,No Fresh Positions
18-SEP-2026,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,174540800,118639606.9014732,No Fresh Positions
18-SEP-2026,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,82205057,104340000,71612062.22788264,No Fresh Positions
18-SEP-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,235004700,198579629.3969623,No Fresh Positions
18-SEP-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,8312500,4204877.8472644,44324821
18-SEP-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4037875,1686181.04283245,5863054
18-SEP-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,66922800,39342378.46253307,78192496
18-SEP-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,35925525,23819103.19988423,22863790
18-SEP-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,30660525,17368422.6657751,29294477
18-SEP-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,34201200,25068454.68175239,63107625
18-SEP-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,32752675,18645994.28955268,86342713
18-SEP-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,302247000,202060074.0696698,486082096
18-SEP-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2449750,1766691.95728974,5114223
18-SEP-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,2840200,1355719.31506125,1744856
18-SEP-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,125913600,99484760.0622339,16139244
18-SEP-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,70562500,33468243.21555962,58954004
18-SEP-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,18127550,14108377.23043174,14281021
18-SEP-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4757500,2726245.79260952,12022151
18-SEP-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,310020000,141026678.42941779,261563470
18-SEP-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,16082000,7884841.15474731,35231772
18-SEP-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,13643350,6478274.12086546,11046802
18-SEP-2026,INE0LEZ01016,ATHER ENERGY LIMITED,ATHERENERG,32347671,14295000,5705625.74486588,25024661
18-SEP-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,41333000,24146027.72742523,50072330
18-SEP-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,20291150,12276519.11508931,27602519
18-SEP-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,125067500,97321378.42989411,194150204
18-SEP-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,4839825,1873526.40674095,10393706
18-SEP-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,18831300,8897112.13605126,53694455
18-SEP-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,393600,257298.92614176,4874594
18-SEP-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,108135000,71749233.05608037,278013592
18-SEP-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,252705375,158979025.31572059,106523766
18-SEP-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,150748000,83946693.93939824,88735681
18-SEP-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,27730400,8980629.5646391,4116750
18-SEP-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,205329675,114629439.16888171,327970248
18-SEP-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,16948000,9161783.06642944,28940580
18-SEP-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,101931200,66100360.57086893,334663262
18-SEP-2026,INE257A01026,BHEL,BHEL,218493415,142739625,86833516.73826042,120735227
18-SEP-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,111030000,59268929.19053669,43360089
18-SEP-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19585168,11363300,6529171.48863009,12076738
18-SEP-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,1005850,548875,221378.34404825,734179
18-SEP-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,56901725,36461797.6996303,254257910
18-SEP-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,17867310,4824375,2441741.10905416,14532203
18-SEP-2026,INE118H01025,BSE LIMITED,BSE,61182611,33630800,13628136.88928006,44495343
18-SEP-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37197674,20804850,10831485.08067905,24506305
18-SEP-2026,INE476A01022,CANARA BANK,CANBK,504315430,553250250,388841556.7595804,90258101
18-SEP-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,28523275,12628205.38436868,12686919
18-SEP-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,101855520,31075150,18183551.26408639,78579192
18-SEP-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,64859568,20978125,14850772.95006422,46765816
18-SEP-2026,INE059A01026,CIPLA LTD,CIPLA,70510364,20335400,11014643.53918523,55970202
18-SEP-2026,INE522F01014,COAL INDIA LTD,COALINDIA,340798858,171186750,105290882.2133517,218468032
18-SEP-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,12661431,17189200,7007687.44269278,5020672
18-SEP-2026,INE591G01025,COFORGE LIMITED,COFORGE,52331255,36617275,16877047.23098206,32837645
18-SEP-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,14245222,11814000,6739465.96246365,6793494
18-SEP-2026,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,51639257,38717500,25173535.12398766,23883759
18-SEP-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,96587231,114283250,78610424.82627713,13147444
18-SEP-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,8300600,6163770.67594152,13191719
18-SEP-2026,INE016A01026,DABUR INDIA LTD,DABUR,82677434,59285000,33622682.99695658,44920879
18-SEP-2026,INE148O01028,DELHIVERY LIMITED,DELHIVERY,112291216,50652825,27859905.57419183,78816749
18-SEP-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,13600537,7735600,4140835.4218041,8779674
18-SEP-2026,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,6504348,7985950,3116996.7072907,3062133
18-SEP-2026,INE271C01023,DLF LIMITED,DLF,96251298,67844250,45669591.4095604,45769141
18-SEP-2026,INE192R01011,AVENUE SUPERMARTS LIMITED,DMART,22726551,9114150,5245016.93194534,16345206
18-SEP-2026,INE089A01031,DR. REDDY S LABORATORIES,DRREDDY,87080351,40845000,23249671.9888532,59476661
18-SEP-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,19219348,6766900,3534227.16869699,14724153
