Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
21-NOV-2022,INE042A01014,ESCORTS KUBOTA LIMITED,ESCORTS,6701161,7539125,No Fresh Positions
21-NOV-2022,INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,18282414,15931500,No Fresh Positions
21-NOV-2022,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,80566863,64736000,No Fresh Positions
21-NOV-2022,INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,482368000,No Fresh Positions
21-NOV-2022,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,15793500,No Fresh Positions
21-NOV-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40482071,7670400,30787567
21-NOV-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2518500,7547147
21-NOV-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,102640,907257
21-NOV-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139873392,41164200,91715522
21-NOV-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81450680,27328600,50049546
21-NOV-2022,INE012A01025,ACC LIMITED,ACC,16268135,6243250,9211478
21-NOV-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,54372092,30030250,21623237
21-NOV-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,143563472,101585000,34800298
21-NOV-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244498,581400,9150873
21-NOV-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,19297000,4050208
21-NOV-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145916956,107391600,31229508
21-NOV-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,3855125,15450213
21-NOV-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,52080000,23527752
21-NOV-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282229803,144890000,123228312
21-NOV-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,11742000,74528439
21-NOV-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17789950,2694725,14205727
21-NOV-2022,INE100A01010,ATUL LTD,ATUL,3243307,190200,2890941
21-NOV-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99073649,12808000,81311966
21-NOV-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,33353000,20269395
21-NOV-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,543444248,113523600,402748435
21-NOV-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25619890,3023750,21315145
21-NOV-2022,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124536804,16302500,102007463
21-NOV-2022,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53178502,12592750,37926826
21-NOV-2022,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,3847200,11471928
21-NOV-2022,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23498849,17771200,4552706
21-NOV-2022,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193340441,139856400,43817018
21-NOV-2022,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,193447800,160555923
21-NOV-2022,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,4203925,7967859
21-NOV-2022,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,197710200,480942610
21-NOV-2022,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595109,10095800,36069553
21-NOV-2022,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,15388000,33042421
21-NOV-2022,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,533873789,73913800,433266299
21-NOV-2022,INE257A01026,BHEL,BHEL,256482590,199836000,43822460
21-NOV-2022,INE376G01013,BIOCON LIMITED.,BIOCON,93011980,41754200,46607181
21-NOV-2022,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,305050,1345748
21-NOV-2022,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,204013830,42242400,151570738
21-NOV-2022,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,3846000,18785926
21-NOV-2022,INE836A01035,BIRLASOFT LIMITED,BSOFT,31804037,16788600,13425235
21-NOV-2022,INE476A01014,CANARA BANK,CANBK,134484114,88886700,38873208
21-NOV-2022,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644452,8254350,9457879
21-NOV-2022,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,32874909,18186000,13045163
21-NOV-2022,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79689637,13336250,62368905
21-NOV-2022,INE059A01026,CIPLA LTD,CIPLA,106507010,17168450,84013209
21-NOV-2022,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,117516000,279031816
21-NOV-2022,INE591G01017,COFORGE LIMITED,COFORGE,7308731,1895400,5047894
21-NOV-2022,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,3027850,22294012
21-NOV-2022,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,18372000,33955780
21-NOV-2022,INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,25009128,5380900,18377771
21-NOV-2022,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,123944666,6561000,111186432
21-NOV-2022,INE491A01021,CITY UNION BANK LTD,CUB,147916982,27780000,112741132
21-NOV-2022,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,4462200,21344989
21-NOV-2022,INE016A01026,DABUR INDIA LTD,DABUR,116101456,19383750,90912633
21-NOV-2022,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,16547425,2054500,13665553
21-NOV-2022,INE288B01029,DEEPAK NITRITE LTD,DEEPAKNTR,14808054,4581000,9486651
21-NOV-2022,INE124G01033,DELTA CORP LIMITED,DELTACORP,35669472,28022000,5863998
21-NOV-2022,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,25514876,8564550,15674582
21-NOV-2022,INE935N01020,DIXON TECHNO (INDIA) LTD,DIXON,7800923,1380625,6030251
21-NOV-2022,INE271C01023,DLF LIMITED,DLF,124016568,56621400,61194339
21-NOV-2022,INE089A01023,DR. REDDY S LABORATORIES,DRREDDY,24311384,4614125,18481689
21-NOV-2022,INE066A01021,EICHER MOTORS LTD,EICHERMOT,27778126,9263800,17125419
21-NOV-2022,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,91809066,64864800,22353812
21-NOV-2022,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,416838377,149210000,246786458
21-NOV-2022,INE684F01012,FIRSTSOURCE SOLU. LTD.,FSL,61222697,34647600,23513962
21-NOV-2022,INE129A01019,GAIL (INDIA) LTD,GAIL,627906400,113643000,482868080
21-NOV-2022,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30110093,13998600,14605988
21-NOV-2022,INE776C01039,GMR AIRPORTS INFRA LTD,GMRINFRA,496155219,267772500,203574958
21-NOV-2022,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,75229337,9480000,61987870
21-NOV-2022,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,23084266,7388825,14541227
21-NOV-2022,INE101D01020,GRANULES INDIA LIMITED,GRANULES,28066846,11406000,15257503
21-NOV-2022,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,75013687,11398100,59864902
21-NOV-2022,INE246F01010,GUJARAT STATE PETRO LTD,GSPL,70381221,7632500,59229659
21-NOV-2022,INE844O01030,GUJARAT GAS LIMITED,GUJGASLTD,53841317,9775000,41374251
21-NOV-2022,INE066F01012,HINDUSTAN AERONAUTICS LTD,HAL,16619018,11837550,3950517
21-NOV-2022,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,50744557,6396000,41811329
21-NOV-2022,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,211948254,26341000,175009841
21-NOV-2022,INE001A01036,HDFC LTD,HDFC,363466127,25866600,319426220
21-NOV-2022,INE127D01025,HDFC AMC LIMITED,HDFCAMC,15871108,2622300,12455252
21-NOV-2022,INE040A01034,HDFC BANK LTD,HDFCBANK,675442828,105884900,535785786
21-NOV-2022,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,196017650,39760600,146456167
21-NOV-2022,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,26066810,6930600,17832869
21-NOV-2022,INE038A01020,HINDALCO  INDUSTRIES  LTD,HINDALCO,292136971,55173800,222356322
21-NOV-2022,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,39301800,22906222
21-NOV-2022,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,127940594,32081400,89462164
21-NOV-2022,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,179035680,13146600,156937296
21-NOV-2022,INE671A01010,HONEYWELL AUTOMATION IND,HONAUT,442076,35010,384962
21-NOV-2022,INE090A01021,ICICI BANK LTD.,ICICIBANK,1156832739,152267200,946723902
21-NOV-2022,INE765G01017,ICICI LOMBARD GIC LIMITED,ICICIGI,51050269,5909625,42588130
21-NOV-2022,INE726G01019,ICICI PRU LIFE INS CO LTD,ICICIPRULI,76684492,17214000,55636267
21-NOV-2022,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1606294231,1192240000,333739519
21-NOV-2022,INE043D01016,IDFC LIMITED,IDFC,319446056,161680000,141793753
21-NOV-2022,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,790479999,364515000,386440999
21-NOV-2022,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,179240844,94957500,75321301
21-NOV-2022,INE203G01027,INDRAPRASTHA GAS LTD,IGL,77000080,22600875,50549201
21-NOV-2022,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,175594852,82693350,84121759
21-NOV-2022,INE383A01012,THE INDIA CEMENTS LIMITED,INDIACEM,44365911,34072100,8075515
21-NOV-2022,INE933S01016,INDIAMART INTERMESH LTD,INDIAMART,3096347,667650,2273879
21-NOV-2022,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,21637383,6843600,13711913
21-NOV-2022,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,117708434,46872900,64950112
21-NOV-2022,INE121J01017,INDUS TOWERS LIMITED,INDUSTOWER,167015920,22506400,136158724
21-NOV-2022,INE009A01021,INFOSYS LIMITED,INFY,614813098,47123400,536949043
21-NOV-2022,INE306R01017,INTELLECT DESIGN ARENA,INTELLECT,18778041,9002750,8836388
21-NOV-2022,INE242A01010,INDIAN OIL CORP LTD,IOC,1369807723,162951750,1138365586
21-NOV-2022,INE571A01038,IPCA LABORATORIES LTD,IPCALAB,27254349,2715050,23176581
21-NOV-2022,INE335Y01020,INDIAN RAIL TOUR CORP LTD,IRCTC,52165566,34481125,15076162
21-NOV-2022,INE154A01025,ITC LTD,ITC,2477989003,171929600,2182159952
21-NOV-2022,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,76151471,36087500,36256397
21-NOV-2022,INE823G01014,JK CEMENT LIMITED,JKCEMENT,8369739,850500,7100752
21-NOV-2022,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,262047905,38434500,210511009
21-NOV-2022,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,76389158,31495000,41074700
21-NOV-2022,INE237A01028,KOTAK MAHINDRA BANK LTD,KOTAKBANK,294046586,40084000,239260256
21-NOV-2022,INE498L01015,L&T FINANCE HOLDINGS LTD,L&TFH,167357416,124516572,34472973
