Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
07-OCT-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40461755,8438800,29999867
07-OCT-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,1591000,8474647
07-OCT-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,67600,942297
07-OCT-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139834302,36007200,96835386
07-OCT-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81494340,14731600,62688023
07-OCT-2022,INE012A01025,ACC LIMITED,ACC,17078428,7157500,9067006
07-OCT-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,28361500,24049354
07-OCT-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,143563492,95642500,40742817
07-OCT-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10249198,451200,9285538
07-OCT-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,8571000,14776208
07-OCT-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145968373,92435400,46234554
07-OCT-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,2718375,16586963
07-OCT-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,25014500,50593252
07-OCT-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282229803,87760000,180358312
07-OCT-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,9695200,76575239
07-OCT-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,1618650,15280662
07-OCT-2022,INE100A01010,ATUL LTD,ATUL,3243507,172050,2909281
07-OCT-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,97374162,11695000,80810453
07-OCT-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,19635000,33987395
07-OCT-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,542455719,67532400,447800533
07-OCT-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26757342,4344000,21075474
07-OCT-2022,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124475036,11435000,106816284
07-OCT-2022,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53088500,8161875,42272200
07-OCT-2022,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,3296100,12023028
07-OCT-2022,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23498849,13609600,8714306
07-OCT-2022,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193334082,39700800,143966577
07-OCT-2022,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,134392050,219611673
07-OCT-2022,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,2636700,9535084
07-OCT-2022,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,128922600,549730210
07-OCT-2022,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595109,10257500,35907853
07-OCT-2022,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,12846000,35584421
07-OCT-2022,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,518042216,69828800,422311305
07-OCT-2022,INE257A01026,BHEL,BHEL,256482590,203584500,40073960
07-OCT-2022,INE376G01013,BIOCON LIMITED.,BIOCON,92756263,36834500,51283949
07-OCT-2022,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,262150,1388648
07-OCT-2022,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202646440,32500800,160013318
07-OCT-2022,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2188400,20443526
07-OCT-2022,INE836A01035,BIRLASOFT LIMITED,BSOFT,31798877,14326000,15882933
07-OCT-2022,INE476A01014,CANARA BANK,CANBK,134484114,68188500,59571408
07-OCT-2022,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644752,13538850,4173664
