Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
30-MAY-2022,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40461675,3692400,34746191
30-MAY-2022,INE117A01022,ABB INDIA LIMITED,ABB,10595418,669250,9396397
30-MAY-2022,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,34835,975062
30-MAY-2022,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139793758,28856600,103947470
30-MAY-2022,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81469651,15444000,61952168
30-MAY-2022,INE012A01025,ACC LIMITED,ACC,17078428,3740500,12484006
30-MAY-2022,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,25797000,26613854
30-MAY-2022,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,143563492,91296250,45089067
30-MAY-2022,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10250318,221400,9516402
30-MAY-2022,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,8441000,14906208
30-MAY-2022,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,146025477,83958900,54765303
30-MAY-2022,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11946974,1280300,10069325
30-MAY-2022,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321931,3051375,16254459
30-MAY-2022,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,21231500,54376252
30-MAY-2022,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,72002500,196070212
30-MAY-2022,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90837873,10287950,76008029
30-MAY-2022,INE006I01046,ASTRAL LIMITED,ASTRAL,17788750,851675,16047637
30-MAY-2022,INE100A01010,ATUL LTD,ATUL,3258166,103725,2991532
30-MAY-2022,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,45200165,3225500,39714656
30-MAY-2022,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,23631750,29990645
30-MAY-2022,INE238A01034,AXIS BANK LIMITED,AXISBANK,542647474,74116800,441398300
30-MAY-2022,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26757382,3119500,22300012
30-MAY-2022,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12452908,1489150,10341112
30-MAY-2022,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53012738,8055500,42306601
30-MAY-2022,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,1513000,13806128
30-MAY-2022,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23498849,13155200,9168706
30-MAY-2022,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193330002,44890200,138773301
30-MAY-2022,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,151421400,202582323
30-MAY-2022,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,1932975,9554809
30-MAY-2022,INE263A01024,BHARAT ELECTRONICS LTD,BEL,238123793,38896800,187320803
