Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
24-DEC-2025,INE148I01020,SAMMAAN CAPITAL LIMITED,SAMMAANCAP,122326971,213125200,112999095.823811,No Fresh Positions
24-DEC-2025,INE466L01038,360 ONE WAM LIMITED,360ONE,44660948,5869500,2398870.61434,40029029
24-DEC-2025,INE117A01022,ABB INDIA LIMITED,ABB,7946564,4169500,2288463.45910625,5260772
24-DEC-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,122316423,130107000,80511395.690231,35689206
24-DEC-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,51907388,24318900,18091748.84184375,31220269
24-DEC-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,30942206,47881095,23469938.9290553,5925156
24-DEC-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,61877951,43033200,25869638.389382,32914415
24-DEC-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,73799006,39152825,25260953.63300325,44848102
24-DEC-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,6130387,2047375,1576075.60544125,4247792
24-DEC-2025,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3067454,2694500,1060673.409634,1853407
24-DEC-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,119762774,85260000,54904543.951217,58870091
24-DEC-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,9647634,9678500,3620618.7389425,5544633
24-DEC-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,27232196,10924900,8269978.7379015,17600607
24-DEC-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15240043,6427875,3285475.1540725,11192565
24-DEC-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,409181558,317545000,161565874.6719,227156605
24-DEC-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,52357280,26660750,13868458.3414125,35870957
24-DEC-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,18495534,14333125,8017213.0631835,9553544
24-DEC-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,86234186,38514000,21521495.85072,60400980
24-DEC-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,31893400,21698452.1055075,18180586
24-DEC-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,316147681,120221250,79559656.69731875,220780640
24-DEC-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12547731,6079725,3297380.0998,8622964
24-DEC-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65659712,27324000,18058769.812775,44317956
24-DEC-2025,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,281116345,137160750,89155093.7255825,177905434
24-DEC-2025,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,142752962,201596400,123814746.035892,11800567
24-DEC-2025,INE028A01039,BANK OF BARODA,BANKBARODA,257509827,170708850,88090203.98627675,156544131
24-DEC-2025,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,108362800,54978472.771052,117703902
24-DEC-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,15168600,5214803.0394535,7882577
24-DEC-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,242128875,123192591.33167725,385797015
24-DEC-2025,INE465A01025,BHARAT FORGE LTD,BHARATFORG,35155737,14753000,7765747.801045,25632202
24-DEC-2025,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,314058656,75264700,51064732.02902775,247290991
24-DEC-2025,INE257A01026,BHEL,BHEL,169029877,141143625,66211322.742585,94367060
24-DEC-2025,INE376G01013,BIOCON LIMITED.,BIOCON,90981174,94412500,46682318.699975,39749796
24-DEC-2025,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,19584741,4326400,2390575.15815525,16214928
24-DEC-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,982526,371125,197257.05822025,736142
24-DEC-2025,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,281577339,65886000,28948339.8871465,238550132
24-DEC-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4572375,2761402.513415,9667426
24-DEC-2025,INE118H01025,BSE LIMITED,BSE,48385387,35066250,13172731.3151125,32793386
24-DEC-2025,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37106075,17477250,8711829.8674025,26538941
24-DEC-2025,INE476A01022,CANARA BANK,CANBK,504315430,350878500,140266243.544585,338833414
24-DEC-2025,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,24446350,10009634.54582975,15305490
24-DEC-2025,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,100245792,28242100,15358421.710364,79875080
24-DEC-2025,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63212268,47506250,16758744.8583625,43292909
24-DEC-2025,INE059A01026,CIPLA LTD,CIPLA,57073940,24236625,13804572.7515675,40415670
24-DEC-2025,INE522F01014,COAL INDIA LTD,COALINDIA,227199238,135553500,63258128.729975,152581147
24-DEC-2025,INE591G01025,COFORGE LIMITED,COFORGE,50163899,35113125,13961041.14483375,33694662
24-DEC-2025,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,19990944,11845575,6832330.04438625,12159066
24-DEC-2025,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,48077012,64263750,38049599.2388625,7623562
24-DEC-2025,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,81400589,97306200,57852721.537446,19477838
24-DEC-2025,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,20374200,5040200,3134912.206252,16220577
24-DEC-2025,INE136B01020,CYIENT LIMITED,CYIENT,12039544,4698800,2421422.744485,9016144
24-DEC-2025,INE016A01026,DABUR INDIA LTD,DABUR,89873278,42970000,20182648.7999625,65196965
24-DEC-2025,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425041,5778175,2756628.09861225,9047160
24-DEC-2025,INE148O01028,DELHIVERY LIMITED,DELHIVERY,94196226,38723650,17569693.1781945,71916721
24-DEC-2025,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,16353614,5181600,3073543.464479,12462389
