Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
20-MAY-2026,INE918Z01012,KAYNES TECHNOLOGY IND LTD,KAYNES,4679418,12687050,4867731.318436,No Fresh Positions
20-MAY-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,216861410,197428200,179174808.658471,No Fresh Positions
20-MAY-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,37756901,6733500,5157270.71778,30711785
20-MAY-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,6138250,2563771.121275,4985464
20-MAY-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123369777,89503200,56786247.361003,60415040
20-MAY-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,35196587,33520500,21673201.90809325,11763555
20-MAY-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,33645895,40010556,19719797.53440688,12243802
20-MAY-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,64724093,43698600,23060243.422278,38427644
20-MAY-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,88142691,42873500,24443574.81224675,59291981
20-MAY-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,482906787,174138150,98614985.3948135,360146462
20-MAY-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,5873365,1928250,1164048.333205,4415648
20-MAY-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3260820,7936000,2761711.900554,336067
20-MAY-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,97233107,109829550,75545273.0358215,16826178
20-MAY-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,96940911,71225000,32693178.6416,59400686
20-MAY-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29871221,9038050,5737422.913243,22640237
20-MAY-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4938375,2268559.87854125,12479837
20-MAY-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,386925000,171114204.4393,231475944
20-MAY-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,62818628,24691250,13361751.2026175,46315945
20-MAY-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,17577908,18619675,8803779.97402375,7895232
20-MAY-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,86532345,41827000,26197184.0822,56008543
20-MAY-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,26047450,18131709.7069575,21747328
20-MAY-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,331596880,109155625,74177867.85006875,240839168
20-MAY-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12553818,6391200,2529168.83640275,9396958
20-MAY-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65784745,21318900,12221123.648565,50274384
20-MAY-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,464450,301399.368206,4830493
20-MAY-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,387962395,108186000,72648282.091395,295915993
20-MAY-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,145616308,161110800,99499016.932096,38836475
20-MAY-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,205039575,119518104.17468075,145984687
20-MAY-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,127696400,72557611.073936,100124763
20-MAY-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,9924925,3452517.09683225,9644863
20-MAY-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,535778534,239103600,121347232.5157145,387642374
20-MAY-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,14296500,7301386.717995,30800976
20-MAY-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,342859930,101195425,60940921.15421425,264776012
20-MAY-2026,INE257A01026,BHEL,BHEL,192361942,244085625,138496563.59146375,44247281
20-MAY-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108004143,86990000,41139090.1759,61464845
20-MAY-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,15745076,8034975,3244740.26279225,11713081
20-MAY-2026,INE323A01026,BOSCH LIMITED,BOSCHLTD,868841,609375,315858.71357775,509540
20-MAY-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,306020745,119854850,63873302.01203475,226846405
20-MAY-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,14553559,6864250,2885529.74483375,10940351
20-MAY-2026,INE118H01025,BSE LIMITED,BSE,61182611,26013600,9292108.07193925,48831372
20-MAY-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,37147595,15690000,7023344.65639,28266870
20-MAY-2026,INE476A01022,CANARA BANK,CANBK,504315430,440113500,248702327.37936,230397331
20-MAY-2026,INE736A01011,CENTRAL DEPO SER (I) LTD,CDSL,26647500,29932125,12287170.44091575,13027954
20-MAY-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,103080397,35819850,23733369.739827,74193007
20-MAY-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,63646863,25477500,18651040.58164375,41813479
20-MAY-2026,INE059A01026,CIPLA LTD,CIPLA,76385219,33225850,15411195.046028,57154763
20-MAY-2026,INE522F01014,COAL INDIA LTD,COALINDIA,320531323,144690300,65888009.051616,238616747
