Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
14-JAN-2025,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41610105,40237000,No Fresh Positions
14-JAN-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11609893,11508000,No Fresh Positions
14-JAN-2025,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193371053,168778400,No Fresh Positions
14-JAN-2025,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,56299250,No Fresh Positions
14-JAN-2025,INE498L01015,L&T FINANCE LIMITED,LTF,168032565,160872948,No Fresh Positions
14-JAN-2025,INE976G01028,RBL BANK LIMITED,RBLBANK,121536448,105700000,No Fresh Positions
14-JAN-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,4131750,5933897
14-JAN-2025,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,132440,877457
14-JAN-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162060517,111472200,42485291
14-JAN-2025,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,94669741,84000800,5935453
14-JAN-2025,INE012A01025,ACC LIMITED,ACC,16266067,8580900,6871863
14-JAN-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,12373750,56230719
14-JAN-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,57246033,37409700,16974031
14-JAN-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,18865125,98702982
14-JAN-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,48504400,91480543
14-JAN-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1617800,8454228
14-JAN-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159680517,50301000,101395491
14-JAN-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39785217,8152900,29643056
14-JAN-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4104125,15201213
14-JAN-2025,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,33058200,42530552
14-JAN-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282419403,118517500,149780932
14-JAN-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90783403,25936200,60308032
14-JAN-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,24659168,10579876,12846333
14-JAN-2025,INE399L01023,ADANI TOTAL GAS LIMITED,ATGL,55429320,10298975,42358879
14-JAN-2025,INE100A01010,ATUL LTD,ATUL,3228447,881300,2185724
14-JAN-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114647775,51267000,57648386
14-JAN-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,22811250,30360801
14-JAN-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,541570224,124693125,389798587
14-JAN-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25109848,6330600,17523755
14-JAN-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,125248628,32201500,86784696
14-JAN-2025,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,56018455,17291250,35926282
14-JAN-2025,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2961000,12358128
14-JAN-2025,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,286796250,67207473
14-JAN-2025,INE084A01016,BANK OF INDIA,BANKINDIA,242361229,84673925,145569242
14-JAN-2025,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,6589500,5582284
14-JAN-2025,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,212766750,465886060
14-JAN-2025,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,58313322,18977640,36420015
14-JAN-2025,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,17613500,30816921
14-JAN-2025,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,569553372,63301825,477773878
14-JAN-2025,INE257A01026,BHEL,BHEL,256482590,177980250,65678210
14-JAN-2025,INE376G01013,BIOCON LIMITED.,BIOCON,93926056,70165000,19064753
14-JAN-2025,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,456850,1193948
14-JAN-2025,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,408027660,119001600,268624677
14-JAN-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,5960000,16671926
14-JAN-2025,INE118H01025,BSE LIMITED,BSE,20874157,5891250,13939199
14-JAN-2025,INE836A01035,BIRLASOFT LIMITED,BSOFT,32673011,23050000,7989360
14-JAN-2025,INE596I01012,COMPUTER AGE MNGT SER LTD,CAMS,9856590,1629000,7734760
