Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
09-FEB-2023,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145915904,136855800,No Fresh Positions
09-FEB-2023,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,80566863,78896000,No Fresh Positions
09-FEB-2023,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40485931,9084800,29376834
09-FEB-2023,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2577750,7487897
09-FEB-2023,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,82440,927457
09-FEB-2023,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139924470,51780600,81147646
09-FEB-2023,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81409858,30339400,46999965
09-FEB-2023,INE012A01025,ACC LIMITED,ACC,16266067,10707500,4745263
09-FEB-2023,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,62410300,47199000,12090785
09-FEB-2023,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,150644875,109608125,33504506
09-FEB-2023,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244418,723800,9008397
09-FEB-2023,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,2735375,16569963
09-FEB-2023,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,33785500,41822252
09-FEB-2023,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282349803,153650000,114582312
09-FEB-2023,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,13259200,73011239
09-FEB-2023,INE006I01046,ASTRAL LIMITED,ASTRAL,17789950,2850375,14050077
09-FEB-2023,INE100A01010,ATUL LTD,ATUL,3243265,303075,2778026
09-FEB-2023,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99242739,14286000,79994602
09-FEB-2023,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,35880000,17742395
09-FEB-2023,INE238A01034,AXIS BANK LIMITED,AXISBANK,550032604,98827200,423703773
09-FEB-2023,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25475409,3675750,20525888
09-FEB-2023,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124591606,22005500,96356525
09-FEB-2023,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53162709,11617625,38886948
09-FEB-2023,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2205600,13113528
09-FEB-2023,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23485900,15275200,7036405
09-FEB-2023,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193343252,57202200,126473889
09-FEB-2023,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,250959150,103044573
09-FEB-2023,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,3406975,8764809
09-FEB-2023,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,200497500,478155310
09-FEB-2023,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48571109,11484000,34658553
09-FEB-2023,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,10426000,38004421
09-FEB-2023,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,519783453,69117250,424677030
09-FEB-2023,INE257A01026,BHEL,BHEL,256482590,169029000,74629460
09-FEB-2023,INE376G01013,BIOCON LIMITED.,BIOCON,93122081,46676200,41789776
09-FEB-2023,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,196450,1454348
