Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
01-OCT-2025,INE976G01028,RBL BANK LIMITED,RBLBANK,91351468,133467475,94777986.9198045,No Fresh Positions
01-OCT-2025,INE148I01020,SAMMAAN CAPITAL LIMITED,SAMMAANCAP,122326971,128445300,98256662.938956,No Fresh Positions
01-OCT-2025,INE020B01018,REC LIMITED,RECLTD,187084550,117475950,78947160.47697275,98783162
01-OCT-2025,INE356A01018,MPHASIS LIMITED,MPHASIS,14652855,5343250,4084795.13967775,9835417
01-OCT-2025,INE0DK501011,PIRAMAL PHARMA LIMITED,PPLPHARMA,120138597,28602500,16742609.02245,97389058
01-OCT-2025,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,12425041,2574000,2208436.57155,9595352
01-OCT-2025,INE066P01011,INOX WIND LIMITED,INOXWIND,144708707,64851040,47715146.07473072,89758125
01-OCT-2025,INE481G01011,ULTRATECH CEMENT LIMITED,ULTRACEMCO,11962066,3113300,2465242.1144935,8898720
01-OCT-2025,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,143933168,67468950,48439607.971329,88296901
01-OCT-2025,INE095N01031,NBCC (INDIA) LIMITED,NBCC,154894704,84246500,59264197.58147,87885771
01-OCT-2025,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,7402850,4321037.50185875,8776342
01-OCT-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12547731,5308725,3208804.13295625,8711540
01-OCT-2025,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,109220043,22768900,16881568.1064305,86877472
01-OCT-2025,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,13082978,4474500,3747350.7349775,8681478
01-OCT-2025,INE467B01029,TATA CONSULTANCY SERV LT,TCS,123298271,52767575,30970323.86179975,86163033
01-OCT-2025,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,119296253,35345200,27903715.01485,85427725
01-OCT-2025,INE136B01020,CYIENT LIMITED,CYIENT,12039544,4840750,3250888.9987935,8186677
01-OCT-2025,INE019A01038,JSW STEEL LIMITED,JSWSTEEL,133166619,51113700,45666417.67296375,80841870
