Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
13-MAR-2025,INE118H01025,BSE LIMITED,BSE,21145594,18647625,No Fresh Positions
13-MAR-2025,INE531E01026,HINDUSTAN COPPER LTD,HINDCOPPER,65482129,62412800,No Fresh Positions
13-MAR-2025,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,120801433,143870000,No Fresh Positions
13-MAR-2025,INE522D01027,MANAPPURAM FINANCE LTD,MANAPPURAM,109606743,93696000,No Fresh Positions
13-MAR-2025,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,289139949,270368000,No Fresh Positions
13-MAR-2025,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,41800237,35089000,4621225
13-MAR-2025,INE117A01022,ABB INDIA LIMITED,ABB,10595418,4932500,5133147
13-MAR-2025,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,162341346,106331400,47892878
13-MAR-2025,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,121576670,77152400,38345436
13-MAR-2025,INE012A01025,ACC LIMITED,ACC,16266067,8152500,7300263
13-MAR-2025,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,72215231,18199375,50405094
13-MAR-2025,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,60081955,38590800,18487057
13-MAR-2025,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,123755903,29449875,88118232
13-MAR-2025,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147352572,37732000,102252943
13-MAR-2025,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10602135,1406800,8665228
13-MAR-2025,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,159683698,45543600,106155913
13-MAR-2025,INE732I01013,ANGEL ONE LIMITED,ANGELONE,11629844,10387600,660751
13-MAR-2025,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,39789217,6049750,31750006
13-MAR-2025,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4274625,15030713
13-MAR-2025,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79567108,23647000,51941752
13-MAR-2025,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282439403,118025000,150292432
13-MAR-2025,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90786456,23503200,62743933
13-MAR-2025,INE006I01046,ASTRAL LIMITED,ASTRAL,24660712,10220583,13207093
13-MAR-2025,INE399L01023,ADANI TOTAL GAS LIMITED,ATGL,55429320,9959525,42698329
13-MAR-2025,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,114786901,41101000,67946555
13-MAR-2025,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,55970580,17542800,35629251
13-MAR-2025,INE238A01034,AXIS BANK LIMITED,AXISBANK,546170617,113883125,404978961
13-MAR-2025,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25109848,5897250,17957105
13-MAR-2025,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,125314034,30646500,88401832
13-MAR-2025,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,56041443,16728125,36511245
13-MAR-2025,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,3438000,11881128
13-MAR-2025,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193371093,151127200,32575338
13-MAR-2025,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,256630725,97372998
