Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
16-JAN-2023,INE113A01013,GUJ NAR VAL FER & CHEM L,GNFC,18282414,16061500,No Fresh Positions
16-JAN-2023,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,80566863,65024000,No Fresh Positions
16-JAN-2023,INE498L01015,L&T FINANCE HOLDINGS LTD,L&TFH,167357416,193516940,No Fresh Positions
16-JAN-2023,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,40482071,8037600,30420367
16-JAN-2023,INE117A01022,ABB INDIA LIMITED,ABB,10595418,2353750,7711897
16-JAN-2023,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,69880,940017
16-JAN-2023,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,139873392,63450000,69429722
16-JAN-2023,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,81450680,39210600,38167546
16-JAN-2023,INE012A01025,ACC LIMITED,ACC,16268135,4384750,11069978
16-JAN-2023,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,54372092,28852750,22800737
16-JAN-2023,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,153116615,84508125,60952659
16-JAN-2023,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,10244498,488600,9243673
16-JAN-2023,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145916956,115450200,23170908
16-JAN-2023,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20321409,4192125,15113213
16-JAN-2023,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,79587108,38143000,37464752
16-JAN-2023,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282229803,125965000,142153312
16-JAN-2023,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90810989,12855400,73415039
16-JAN-2023,INE006I01046,ASTRAL LIMITED,ASTRAL,17789950,2749725,14150727
16-JAN-2023,INE100A01010,ATUL LTD,ATUL,3243307,276825,2804316
16-JAN-2023,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,99073649,14691000,79428966
16-JAN-2023,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,27347000,26275395
16-JAN-2023,INE238A01034,AXIS BANK LIMITED,AXISBANK,543444248,88755600,427516435
16-JAN-2023,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,25619890,2883500,21455395
16-JAN-2023,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,124536804,30468500,87841463
16-JAN-2023,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,53178502,19124125,31395451
16-JAN-2023,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16125398,2704500,12614628
16-JAN-2023,INE119A01028,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,23498849,19232000,3091906
16-JAN-2023,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193340441,78589800,105083618
16-JAN-2023,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,194670450,159333273
16-JAN-2023,INE176A01028,BATA INDIA LTD,BATAINDIA,12812405,4585350,7586434
16-JAN-2023,INE263A01024,BHARAT ELECTRONICS LTD,BEL,714371379,189582000,489070810
16-JAN-2023,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595109,10436800,35728553
16-JAN-2023,INE465A01025,BHARAT FORGE LTD,BHARATFORG,50979391,10946000,37484421
16-JAN-2023,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,533873789,83218100,423961999
16-JAN-2023,INE257A01026,BHEL,BHEL,256482590,196654500,47003960
16-JAN-2023,INE376G01013,BIOCON LIMITED.,BIOCON,93011980,56103900,32257481
16-JAN-2023,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,203400,1447398
16-JAN-2023,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,204013830,37218600,156594538
16-JAN-2023,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,23823080,2415800,20216126
16-JAN-2023,INE836A01035,BIRLASOFT LIMITED,BSOFT,31804037,18450000,11763835
16-JAN-2023,INE476A01014,CANARA BANK,CANBK,134484114,92140200,35619708
16-JAN-2023,INE477A01020,CAN FIN HOMES LTD,CANFINHOME,18644452,6970275,10741954
16-JAN-2023,INE085A01013,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,32874909,17805000,13426163
16-JAN-2023,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,79689637,14217500,61487655
16-JAN-2023,INE059A01026,CIPLA LTD,CIPLA,106507010,14486550,86695109
16-JAN-2023,INE522F01014,COAL INDIA LTD,COALINDIA,417418754,104756400,291791416
16-JAN-2023,INE591G01017,COFORGE LIMITED,COFORGE,7308731,1972650,4970644
16-JAN-2023,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,26654592,4064900,21256962
16-JAN-2023,INE111A01025,CONTAINER CORP OF IND LTD,CONCOR,55081874,12301000,40026780
16-JAN-2023,INE169A01031,COROMANDEL INTERNTL. LTD,COROMANDEL,25009128,4083800,19674871
16-JAN-2023,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,123944666,7638000,110109432
