Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
19-JUN-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,20960143,7227100,3805229.739541,16106906
19-JUN-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,1366821859,342266925,240461915.79955575,1058018850
19-JUN-2026,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,50211048,56797200,24911357.734032,22789137
19-JUN-2026,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,359450597,153412500,98759016.9328,242719050
19-JUN-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,736885,612100,255733.969535,444306
19-JUN-2026,INE061F01013,FORTIS HEALTHCARE LTD,FORTIS,70894446,16635375,10381572.12208925,56968151
19-JUN-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,471255857,135473450,79525301.253212,368167762
19-JUN-2026,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,15844372,19335000,12828421.86207625,2223731
19-JUN-2026,INE776C01039,GMR AIRPORTS LIMITED,GMRAIRPORT,534704421,277284150,151240440.8495235,356728759
19-JUN-2026,INE260B01028,GODFREY PHILLIPS INDIA LT,GODFRYPHLP,6329596,3639900,2262520.060855,3750596
19-JUN-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,53250524,17683000,12013143.219855,38574854
19-JUN-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,23870110,14498650,8687416.756717,13989187
19-JUN-2026,INE047A01021,GRASIM INDUSTRIES LTD,GRASIM,38401443,17862000,14498478.8523275,21982891
19-JUN-2026,INE200A01026,GE VERNOVA T&D INDIA LTD,GVT&D,18819420,2181250,1162736.1876325,16715712
19-JUN-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,28450886,13628700,6931071.903114,20097269
19-JUN-2026,INE176B01034,HAVELLS INDIA LIMITED,HAVELLS,29751886,16950000,10157698.98729,18106592
19-JUN-2026,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,145140505,67549450,40174134.533208,97709345
19-JUN-2026,INE127D01025,HDFC AMC LIMITED,HDFCAMC,30592324,9099300,5822037.786562,23240670
19-JUN-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,1496665645,571476650,411242034.9205115,1010590327
19-JUN-2026,INE795G01014,HDFC LIFE INS CO LTD,HDFCLIFE,156090005,85449100,46080296.849092,102205207
