Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Limit for Next Day
20-OCT-2021,INE885A01032,AMARA RAJA BATTERIES LTD.,AMARAJABAT,24576009,21747000,No Fresh Positions
20-OCT-2021,INE042A01014,ESCORTS INDIA LTD,ESCORTS,14081594,12503150,No Fresh Positions
20-OCT-2021,INE669E01016,VODAFONE IDEA LIMITED,IDEA,1606294231,1339100000,No Fresh Positions
20-OCT-2021,INE335Y01012,INDIAN RAIL TOUR CORP LTD,IRCTC,10433113,9037600,No Fresh Positions
20-OCT-2021,INE498L01015,L&T FINANCE HOLDINGS LTD,L&TFH,179915331,177159248,No Fresh Positions
20-OCT-2021,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,178967755,154768000,No Fresh Positions
20-OCT-2021,INE160A01022,PUNJAB NATIONAL BANK,PNB,591377974,530768000,No Fresh Positions
20-OCT-2021,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,289139949,269353500,No Fresh Positions
20-OCT-2021,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,16380000,No Fresh Positions
20-OCT-2021,INE245A01021,TATA POWER CO LTD,TATAPOWER,339616396,323716500,No Fresh Positions
20-OCT-2021,INE769A01020,AARTI INDUSTRIES LTD,AARTIIND,39945878,7865050,30083534
20-OCT-2021,INE358A01014,ABBOTT INDIA LIMITED,ABBOTINDIA,1063050,88825,921072
20-OCT-2021,INE647O01011,ADITYA BIRLA FASHION & RT,ABFRL,66637623,21187400,42118341
20-OCT-2021,INE012A01025,ACC LIMITED,ACC,17078428,7696000,8528506
20-OCT-2021,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,55169320,39635000,12775854
20-OCT-2021,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,147858225,114151250,26314063
20-OCT-2021,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,9841875,610200,8739581
20-OCT-2021,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,145409793,43197000,94942303
20-OCT-2021,INE901L01018,ALEMBIC PHARMA LTD,APLLTD,11999222,4110700,7288560
20-OCT-2021,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,20181931,5320500,13852334
20-OCT-2021,INE438A01022,APOLLO TYRES LTD,APOLLOTYRE,72957920,40007500,29302524
20-OCT-2021,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282181803,129496500,138576212
20-OCT-2021,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,90562627,10300800,75733695
20-OCT-2021,INE006I01046,ASTRAL LIMITED,ASTRAL,17786268,1228975,15667979
20-OCT-2021,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,44807534,7364500,35202657
20-OCT-2021,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,56444627,26769600,26852795
20-OCT-2021,INE238A01034,AXIS BANK LIMITED,AXISBANK,527568322,62967600,438222305
20-OCT-2021,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,26795423,5953750,19501901
20-OCT-2021,INE918I01018,BAJAJ FINSERV LTD.,BAJAJFINSV,12426382,1637025,10168037
20-OCT-2021,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,52829771,9008000,41180282
20-OCT-2021,INE787D01026,BALKRISHNA IND. LTD,BALKRISIND,16124234,3322000,11996022
20-OCT-2021,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,193310657,39434400,144210724
20-OCT-2021,INE028A01039,BANK OF BARODA,BANKBARODA,372635498,307487700,46516023
20-OCT-2021,INE176A01028,BATA INDIA LTD,BATAINDIA,12092405,4127200,7360584
20-OCT-2021,INE263A01024,BHARAT ELECTRONICS LTD,BEL,238123793,44938800,181278803
20-OCT-2021,INE463A01038,BERGER PAINTS (I) LTD,BERGEPAINT,48595067,9819700,36345613
20-OCT-2021,INE465A01025,BHARAT FORGE LTD,BHARATFORG,51436398,17923500,30941078
20-OCT-2021,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,485965844,138541788,323125763
20-OCT-2021,INE257A01026,BHEL,BHEL,256482590,203710500,39947960
20-OCT-2021,INE376G01013,BIOCON LIMITED.,BIOCON,92336958,39323100,48397010
20-OCT-2021,INE323A01026,BOSCH LIMITED,BOSCHLTD,1737683,285500,1365298
20-OCT-2021,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,202636795,59706000,132798955
